name,our_robot.start_pos,our_robot.start_yaw_deg,opponents,transmitter.behavior_mode,navigation.type,navigation.hazard_tangent_enable,navigation.hazard_barrier_enable,ok,hazard_count,fell_in,min_clearance_m,block_hits,episode_outcome,episode_s,ticks,min_dist_m,reached,t_contact_s,facing_pct,mean_abs_ang_deg,nearwall_pct,wall_contacts,impact_speed_mps,terminal_pos_err_m,terminal_vel_mps,overshoot_m,t_to_goal_s,obstacles_file,field_filter.hazards_file
clean,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}]",ATTACK,MotionProfileNavigation,False,False,True,0,0,0.2505,0,MAX_TICKS,29.97,900,0.016,True,0.73,57.4,86.8,24.8,20,4.82,0.211,0.027,0.269,0.73,,
hole_on_path,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}]",ATTACK,MotionProfileNavigation,False,False,True,1,1,-0.0039,0,FELL_IN,0.47,14,1.489,False,,100.0,0.0,0.0,0,,1.725,3.739,0.0,,playground/control_stage0/sweep_out/hazard_baseline/hole_on_path.hazards.toml,playground/control_stage0/sweep_out/hazard_baseline/hole_on_path.hazards.toml
hole_and_block,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}]",ATTACK,MotionProfileNavigation,False,False,True,2,1,-0.0026,0,FELL_IN,0.5,15,1.411,False,,100.0,0.0,0.0,0,,1.597,3.464,0.0,,playground/control_stage0/sweep_out/hazard_baseline/hole_and_block.hazards.toml,playground/control_stage0/sweep_out/hazard_baseline/hole_and_block.hazards.toml
