gap_frames,gap_ms
11,330.0
30,987.5
640,21364.6
1,34.3
10,338.1
5,168.4
4,129.4
9,321.8
42,1386.3
49,1638.5
3,93.8
2,63.5
504,16891.9
15,508.1
261,8748.9
42,1395.8
80,2658.2
147,4901.5
382,12740.3
47,1583.1
253,8423.1
40,1330.5
4,144.2
1,68.2
27,889.0
6,194.0
6,196.0
2,75.2
378,12574.8
5,156.0
1,34.0
2,45.4
2,70.9
7,233.4
2,102.3
6,198.1
14,469.5
2,96.6
5,156.9
814,27199.8
401,13328.7
4,139.9
7,220.9
709,23674.9
864,28755.1
2,45.5
1,11.9
5,100.8
1,35.3
2,45.3
3,61.5
10,229.2
17,414.8
1,34.4
4,91.6
1,13.5
1,18.2
7,181.7
9,215.5
8,224.8
25,592.0
1,13.8
2,45.4
6,154.2
5,133.4
6,144.2
5,107.3
1,19.5
3,68.9
1,20.9
3,74.2
1,14.6
1,13.4
7,174.4
5,122.6
2,45.9
2,46.2
1,17.2
9,215.5
14,354.1
1,28.5
9,225.7
15,365.3
2,48.0
25,616.8
1,25.1
6,158.7
1,29.5
5,118.3
4,98.1
3,80.5
6,137.6
69,2255.5
6,199.3
23,767.4
9,297.3
2,63.8
2,66.4
1,26.4
2,60.9
3,98.5
4,166.1
1,27.6
6,227.6
1,47.5
13,438.2
5,169.7
2,73.6
2,60.0
1,21.6
49,1632.4
1,35.1
1,16.3
2,58.0
1,39.3
3,99.6
2,53.5
1,34.2
5,176.3
34,1188.3
34,1118.0
3,94.2
20,665.9
2,62.2
12,365.9
1,34.5
11,365.2
6,196.6
62,2065.6
1,33.2
2,46.4
1,30.5
5,166.1
2,48.5
1,43.3
2,75.4
2,66.5
1,38.7
1,36.9
3,95.7
3,89.8
1,42.6
2,55.6
1,21.2
4,133.6
6,199.3
2,72.3
2,56.2
1,25.3
2,70.8
5,121.5
3,63.2
4,95.1
6,165.0
7,160.5
8,208.4
9,219.9
6,136.2
1,35.2
2,46.3
4,104.5
1,13.4
23,553.3
6,139.2
1,26.8
5,112.7
7,149.3
1,11.6
22,525.9
2,45.9
6,140.6
2,46.4
13,314.4
3,65.3
6,163.1
5,109.3
2,43.7
2,43.4
1,41.1
1,12.4
1,15.3
1,12.5
2,43.3
3,62.3
1,14.5
2,44.5
11,267.8
8,238.2
5,104.1
6,162.1
2,48.9
2,43.3
18,442.3
1,22.7
7,171.6
11,265.8
6,140.9
1,38.0
2,46.0
2,46.5
1,41.6
13,284.7
13,334.5
3,77.1
3,79.7
3,71.2
2,43.5
1,30.9
5,143.4
6,138.3
7,171.8
3,60.6
5,100.7
1,32.7
7,157.4
1,11.5
1,16.2
2,50.7
25,615.6
1,13.2
4,96.7
2,46.7
1,15.6
1,13.0
5,110.3
13,330.0
5,114.3
21,522.0
11,273.8
9,227.5
1,27.3
3,71.2
5,151.5
5,115.5
17,425.7
6,152.7
2,67.9
5,112.4
8,208.0
21,508.0
1,36.6
5,126.6
1,23.6
10,271.1
7,181.3
3,82.5
1,21.5
5,118.7
2,44.0
2,45.7
1,22.7
1,11.5
1,11.2
5,125.9
1,34.5
3,76.9
1,36.8
2,47.1
3,85.4
1,33.4
12,272.2
2,49.8
1,31.5
1,11.7
11,277.4
9,201.0
1,25.5
6,140.1
3,83.1
16,390.3
2,47.7
1,12.8
1,12.6
17,409.7
6,144.2
1,15.1
2,46.3
6,136.0
9,223.3
3,58.9
1,34.7
2,45.7
5,111.4
7,181.4
3,81.4
1,31.4
7,177.5
1,20.6
1,10.9
1,14.1
1,37.2
23,563.8
1,33.0
5,110.2
1,37.1
1,41.0
1,14.6
1,23.5
1,53.7
1,40.8
1,11.4
1,35.0
7,228.1
6,203.5
17,548.5
4,131.8
4,130.2
1,28.9
4,142.1
14,465.4
1,34.7
12,376.3
17,574.2
6,216.2
2,65.1
2,87.9
1,33.3
3,101.8
2,74.2
4,135.7
5,166.0
2,95.7
1,35.8
3,86.8
10,334.9
13,441.0
1,28.0
6,204.2
1,32.2
1,36.0
15,509.4
4,133.0
2,69.9
32,1077.3
1,30.5
25,835.1
2,73.7
7,258.6
1,36.5
6,205.9
3,100.4
2,73.2
3,96.7
1,35.6
2,60.9
42,1396.9
1,17.8
24,802.9
8,266.5
3,99.6
1,23.1
4,143.7
1,23.4
1,35.4
4,139.1
1,38.1
30,1012.9
5,160.3
1,65.8
6,214.8
8,286.6
2,58.7
2,67.4
4,122.8
1,30.6
4,125.0
1,58.2
1,53.2
1,30.7
1,71.1
1,46.4
4,127.1
3,112.0
6,195.5
1,30.9
1,29.9
1,24.4
2,59.4
7,239.8
1,17.3
1,12.3
1,9.8
4,117.6
5,160.1
2,69.3
6,185.9
8,255.3
3,105.6
1,31.9
1,29.3
5,147.8
7,247.7
8,268.5
1,44.7
1,35.7
5,148.2
1,31.4
31,1036.6
5,145.3
1,38.1
2,46.0
4,134.5
6,196.0
1,37.5
30,1018.9
2,69.7
1,37.0
1,12.6
10,338.7
1,37.2
3,109.8
1,25.0
5,154.5
1,12.0
4,135.0
1,11.0
6,185.1
7,223.2
3,88.7
1,29.5
11,335.2
9,311.8
38,1254.0
1,15.1
1,34.6
5,165.7
1,42.8
1,34.1
2,68.0
1,26.8
13,399.1
2,65.5
12,364.6
1,42.4
5,196.2
4,125.0
5,170.9
10,335.7
5,185.3
1,10.5
9,302.3
2,59.3
1,25.0
7,241.8
1,30.1
1,38.9
1,40.8
1,38.1
1,32.3
1,24.6
1,31.4
1,26.4
44,1460.3
38,1266.0
1,39.8
1,45.2
1,29.6
1,34.4
1,33.1
41,1020.0
51,1243.2
2,47.9
15,372.5
1,14.0
1,12.6
5,115.0
1,41.2
2,46.6
10,257.1
1,33.2
10,240.2
15,373.0
5,152.0
3,75.8
13,301.2
1,16.8
19,471.4
14,362.1
5,115.4
19,471.3
20,512.3
1,13.5
1,12.9
4,97.3
14,353.3
1,33.4
1,11.4
1,11.7
1,13.7
3,84.0
2,48.4
2,52.6
1,20.4
1,18.9
10,233.8
1,44.9
4,101.1
6,147.9
1,18.8
1,26.9
1,23.0
13,342.5
1,14.6
40,983.0
53,1292.6
17,395.0
2,45.8
5,112.5
2,47.6
1,15.4
1,14.4
4,92.3
1,25.5
9,224.9
1,31.3
9,197.8
8,194.6
6,154.7
3,83.1
1,14.2
13,319.0
22,551.1
5,124.7
11,265.6
20,504.2
35,898.8
11,301.0
1,28.1
1,12.9
2,45.7
1,13.5
1,28.8
1,13.1
1,18.0
1,41.0
1,15.2
5,105.9
1,32.6
1,13.4
6,148.3
3,78.9
1,15.5
1,52.3
14,356.6
2,69.9
1,30.9
34,1114.9
115,3905.9
177,5869.0
3,95.6
2,72.1
9,300.2
4,113.1
1,37.6
47,1564.5
1,34.7
2,58.2
1,35.1
1,58.5
1,38.3
4,169.2
1,42.9
6,165.1
1,39.2
21,720.8
6,208.6
9,309.1
12,397.6
2,64.5
3,98.1
11,362.5
10,334.9
1,34.1
11,371.6
1,22.4
18,603.5
8,279.4
12,440.9
1,20.4
37,1227.5
2,59.2
1,31.7
2,56.3
2,62.6
45,1493.3
2,74.8
8,279.9
29,970.6
2,104.5
41,1341.2
68,2266.5
1,35.5
82,2763.8
4,124.9
1,35.9
2,121.5
2,63.1
1,13.6
11,352.5
1,58.1
1,27.4
3,102.5
18,606.0
4,144.5
2,63.1
1,14.0
2,67.6
3,133.4
1,47.8
1,43.3
1,39.4
2,55.8
2,67.5
1,29.4
1,35.4
3,118.4
7,245.0
1,33.8
5,139.8
4,133.1
6,196.0
1,29.7
2,65.1
1,33.7
5,124.1
3,98.6
4,136.4
1,36.2
2,61.5
3,117.7
1,10.2
18,602.1
1,13.3
1,34.8
1,48.0
1,15.2
1,19.4
2,53.5
1,39.2
1,41.4
6,205.8
1,11.7
2,71.5
1,24.8
39,1303.9
1,30.5
