# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
532221893,0,22,-46,6,4,27,-4092
532222891,0,22,-44,4,-2,8,-4120
532223891,0,21,-46,10,-4,30,-4111
532224891,0,24,-54,6,10,42,-4121
532225891,0,21,-48,8,5,44,-4124
532226891,0,24,-55,2,-5,36,-4127
532227891,0,22,-52,3,-1,36,-4127
532228891,0,25,-63,3,6,42,-4121
532229891,0,25,-61,5,-3,39,-4135
532230891,1,29,-69,1,-3,54,-4101
532231891,1,30,-66,3,0,57,-4113
532232891,1,26,-65,5,-3,56,-4113
532233891,1,30,-68,2,-18,38,-4110
532234891,1,31,-71,9,-19,35,-4111
532235891,1,22,-72,7,-17,38,-4114
532236891,1,29,-65,8,-8,43,-4108
532237891,1,24,-68,8,-11,36,-4099
532238891,1,27,-72,10,-8,32,-4111
532239891,1,30,-65,12,-23,42,-4118
532240891,1,26,-71,5,-20,37,-4088
532241891,1,26,-72,8,-3,28,-4087
532242891,1,23,-74,10,-18,31,-4111
532243891,1,26,-72,7,-18,32,-4101
532244891,1,21,-74,10,-8,57,-4100
532245891,1,29,-69,9,-16,46,-4101
532246891,1,26,-71,3,-9,32,-4103
532247891,1,29,-16,4,691,850,-3448
532248891,1,-102,-8,4,-526,-1066,-4368
532249891,1,13,-44,-7,2382,597,-3835
532250891,1,67,-115,16,1987,218,-4890
532251891,1,82,-159,-16,-385,-332,-4563
532252891,1,57,-119,12,-830,-268,-3522
532253891,1,25,-67,11,-221,-332,-4046
532254896,1,21,-69,15,326,-147,-4239
532255901,1,6,-75,16,172,-125,-4261
532256891,1,4,-63,8,-298,34,-4419
532257891,1,21,-49,6,-247,145,-4007
532258891,1,3,-30,9,-35,21,-3880
532259891,1,4,-41,4,125,14,-4004
532260891,1,8,-53,6,100,79,-4136
532261891,1,13,-65,-5,-20,153,-4091
532262891,1,17,-65,-3,-223,165,-3964
532263891,1,29,-54,-4,-193,10,-3936
532264891,1,19,-48,2,-137,-93,-3907
532265891,1,13,-36,3,-37,-163,-3882
532266891,1,2,-31,3,2,-28,-3980
532267891,1,1,-23,6,24,141,-4108
532268891,1,6,-28,-4,48,178,-4099
532269891,1,16,-35,4,29,152,-4035
532270891,1,18,-31,3,-55,70,-3984
532271891,1,7,-21,-2,-95,80,-3970
532272891,1,9,-11,1,-95,97,-3977
532273891,1,10,-8,-7,-57,116,-3990
532274891,1,6,-3,-8,-1,86,-4069
532275891,1,10,-12,-9,17,90,-4036
532276891,1,8,-8,-6,-5,116,-4051
532277891,1,6,-8,-5,-27,132,-4051
532278891,1,8,-9,-5,-39,135,-4056
532279891,2,9,-12,-1,-24,119,-4056
532280891,2,4,-16,-7,5,69,-4064
532281891,2,13,-17,-3,-13,94,-4067
532282891,2,7,-9,-6,-40,115,-4078
532283891,2,4,-14,-7,-92,125,-4068
532284891,2,6,-3,-7,-181,69,-3968
532285891,2,-2,26,-5,-330,-18,-3938
532286891,2,3,31,0,44,19,-4028
532287891,2,-7,23,-5,177,94,-4159
532288891,1,8,0,-8,104,159,-4217
532289891,1,8,1,-11,-190,115,-3996
532290891,1,2,31,-7,-768,82,-3957
532291891,1,11,48,3,106,-197,-4058
532292891,1,-14,32,-10,170,-45,-4188
532293891,1,8,11,-14,153,124,-4277
532294891,1,11,2,-11,-18,67,-4108
532295891,1,9,14,-12,-71,-58,-3985
532296891,1,6,14,-8,11,-97,-4007
532297891,1,-1,11,-6,168,-55,-4060
532298891,1,1,2,-8,184,44,-4114
532299891,1,5,-3,-9,85,75,-4087
532300891,1,1,-2,-4,76,45,-4088
532301891,1,8,-6,-9,64,-42,-4062
532302891,1,6,-12,-8,78,-46,-4049
532303891,1,1,-12,-5,74,-1,-4086
532304891,1,5,-18,-8,13,45,-4107
532305891,1,6,-14,-7,1,47,-4107
532306891,1,8,-10,-9,-56,2,-4093
532307891,1,6,-14,-9,-92,-27,-4071
532308891,1,7,-5,-2,-98,-24,-4088
532309891,1,5,0,-6,-95,-13,-4066
532310891,1,3,1,-6,-62,27,-4090
532311891,2,6,3,-2,-65,53,-4089
532312891,2,3,-4,-4,-83,40,-4117
532313891,2,-1,0,-7,-86,34,-4082
532314891,2,6,-2,-7,-82,35,-4096
532315891,2,4,0,-5,-37,67,-4092
532316891,2,1,10,-9,-2,57,-4098
532317891,2,6,-5,-7,31,58,-4084
532318891,2,6,0,-5,27,70,-4097
532319891,2,7,2,-5,12,83,-4089
532320891,2,10,-5,-5,3,93,-4081
532321891,2,1,-4,-7,13,103,-4061
532322891,2,5,-12,-7,9,95,-4083
532323891,2,1,-7,-9,23,90,-4074
532324891,1,4,-8,-11,7,97,-4082
532325891,1,3,-12,-12,-28,85,-4093
532326891,1,4,-7,-8,-41,94,-4093
532327891,1,3,-8,-10,-40,79,-4088
532328891,1,6,-7,-5,-46,88,-4089
532329891,1,6,-6,-9,-37,80,-4080
532330891,1,5,-6,-8,-53,75,-4084
532331891,1,1,-7,-7,-39,52,-4100
532332891,1,-1,-2,0,-47,60,-4091
