candidate,level,median_ms,mean_ms,p90_ms,dets
x384x640,pre,3.355,3.3552,3.3829,
x384x640,gpu,20.7108,20.7158,20.7396,
x384x640,total,25.6829,25.8124,26.5354,2
x384x640,post,,1.7414,,
x416x640,pre,3.8505,3.9255,4.1563,
x416x640,gpu,23.7583,23.8785,24.4641,
x416x640,total,30.5363,30.7272,31.227,2
x416x640,post,,2.9232,,
x640x640,pre,4.9804,4.9897,5.0937,
x640x640,gpu,34.0695,33.8977,34.1146,
x640x640,total,42.5141,42.4979,42.7052,2
x640x640,post,,3.6105,,
x768x1280,pre,9.154,9.1505,9.2662,
x768x1280,gpu,75.0104,75.2719,76.3806,
x768x1280,total,91.7091,91.753,92.6644,2
x768x1280,post,,7.3307,,
