t,x,y,yaw,visible,cmd_lin,cmd_ang,trainer_lin,trainer_ang,label
5064.4711,0.37163,0.17339,1.48236,1,,,,,
5064.4877,0.37843,0.17362,1.48471,1,,,,,
5064.5044,0.37546,0.17314,1.47892,1,,,,,
5064.5210,0.36922,0.17313,1.48364,1,0.0000,0.8000,0,-400,sync_start
5064.5377,0.38693,0.17570,1.14958,1,0.0000,0.8000,0,-400,sync_start
5064.5544,0.38438,0.17462,1.39697,1,0.0000,0.8000,0,-400,sync_start
5064.5710,0.36317,0.17268,1.29851,1,0.0000,0.8000,0,-400,sync_start
5064.5877,0.38149,0.17625,1.09686,1,0.0000,0.8000,0,-400,sync_start
5064.6044,0.37295,0.17742,0.88665,1,0.0000,0.8000,0,-400,sync_start
5064.6210,0.37269,0.17959,0.24974,1,0.0000,-0.8000,0,400,sync_start
5064.6377,0.39589,0.18523,0.14841,1,0.0000,-0.8000,0,400,sync_start
5064.6544,0.39428,0.19011,0.09564,1,0.0000,-0.8000,0,400,sync_start
5064.6710,0.40563,0.19820,-0.09347,1,0.0000,-0.8000,0,400,sync_start
5064.6877,0.38211,0.20360,-1.02346,1,0.0000,-0.8000,0,400,sync_start
5064.7044,0.39992,0.21119,-0.97191,1,0.0000,-0.8000,0,400,sync_start
5064.7210,0.38833,0.21307,-1.50186,1,0.0000,0.0000,0,0,sync_start
5064.7377,0.40836,0.21757,-1.60712,1,0.0000,0.0000,0,0,sync_start
5064.7543,0.41919,0.22198,-1.71694,1,0.0000,0.0000,0,0,sync_start
5064.7710,0.41476,0.22195,-1.70195,1,0.0000,0.0000,0,0,sync_start
5064.7877,0.41018,0.22110,-2.13843,1,0.0000,0.0000,0,0,sync_start
5064.8043,0.41643,0.22200,-1.69274,1,0.0000,0.0000,0,0,sync_start
5064.8210,0.41384,0.22166,-2.15800,1,0.0000,0.0000,0,0,sync_start
5064.8377,0.41703,0.22223,-2.16724,1,0.0000,0.0000,0,0,sync_start
5064.8543,0.42096,0.22274,-1.68235,1,0.0000,0.0000,0,0,sync_start
5064.8710,0.40342,0.21975,-2.13876,1,0.0000,0.0000,0,0,sync_start
5064.8877,0.40972,0.22154,-1.69414,1,0.0000,0.0000,0,0,sync_start
5064.9043,0.40556,0.22037,-2.14955,1,0.0000,0.0000,0,0,sync_start
5064.9210,0.41368,0.22157,-1.69403,1,0.0000,0.0000,0,0,sync_start
5064.9377,0.40211,0.22077,-1.67784,1,0.0000,0.0000,0,0,sync_start
5064.9543,0.41691,0.22271,-1.71161,1,0.0000,0.0000,0,0,sync_start
5064.9710,0.41290,0.22196,-2.14991,1,0.0000,0.0000,0,0,sync_start
5064.9876,0.41298,0.22127,-2.10650,1,0.0000,0.0000,0,0,sync_start
5065.0043,0.40627,0.22027,-2.12395,1,0.0000,0.0000,0,0,sync_start
5065.0210,0.40897,0.22149,-2.13130,1,0.0000,0.0000,0,0,sync_start
5065.0376,0.41848,0.22223,-2.14361,1,0.0000,0.0000,0,0,sync_start
5065.0543,0.40413,0.22095,-2.23145,1,0.0000,0.0000,0,0,sync_start
5065.0710,0.41621,0.22137,-2.12487,1,0.0000,0.0000,0,0,sync_start
5065.0876,0.42006,0.22268,-1.69681,1,0.0000,0.0000,0,0,sync_start
5065.1043,0.42000,0.22157,-2.11131,1,0.0000,0.0000,0,0,sync_start
5065.1210,0.40542,0.22030,-2.15446,1,0.0000,0.0000,0,0,sync_start
5065.1376,0.41238,0.22162,-1.67330,1,0.0000,0.0000,0,0,sync_start
5065.1543,0.42705,0.22288,-2.14765,1,0.0000,0.0000,0,0,sync_start
