stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,2961,66.354,66.262,69.438,90.271,
runner.tick,2961,32.677,32.866,36.093,54.705,100.000
runner.camera.get,2961,17.353,17.576,20.262,29.003,53.104
runner.perception_batch.update,2961,14.169,14.058,15.704,25.477,43.359
runner.keypoint_model.update,2961,14.031,13.951,15.474,23.389,42.938
yolo_keypoint_model.update,2961,14.024,13.945,15.467,23.382,42.916
runner.robot_mask_model.update,2961,13.498,13.446,15.002,25.431,41.307
yolo_bbox_robot_blob_model.update,2961,13.492,13.440,14.996,25.426,41.288
yolo_keypoint_model.inference,2961,8.359,8.300,9.713,17.059,25.582
yolo_bbox_robot_blob_model.inference,2961,8.183,8.140,9.453,19.251,25.043
yolo_keypoint_model.preprocess,2961,5.355,5.227,6.321,10.292,16.388
yolo_bbox_robot_blob_model.preprocess,2961,5.192,5.086,6.312,8.077,15.888
runner.keypoint_filter,2961,0.326,0.394,0.556,4.687,0.997
yolo_keypoint_model.postprocess,2961,0.258,0.223,0.322,5.152,0.790
runner.publishers,2961,0.234,0.216,0.278,4.325,0.717
runner.control_loop.advance,2961,0.142,0.136,0.188,0.833,0.435
runner.robot_filter.update,2961,0.085,0.089,0.114,0.748,0.261
ros_publisher.publish_camera_data,2961,0.068,0.063,0.084,1.048,0.207
yolo_bbox_robot_blob_model.postprocess,2961,0.065,0.066,0.086,1.062,0.199
ros_publisher.publish_hazards,2961,0.038,0.036,0.050,0.302,0.117
ros_publisher.publish_robots,2961,0.031,0.028,0.046,1.059,0.095
ros_publisher.publish_navigation,2961,0.026,0.023,0.033,3.363,0.081
runner.field_filter.track_field,2961,0.024,0.017,0.060,0.125,0.073
ros_publisher.publish_blob_detections,2961,0.023,0.018,0.040,0.851,0.072
ros_publisher.publish_field_description,2961,0.015,0.012,0.015,1.063,0.045
ros_publisher.publish_keypoint_detections,2961,0.012,0.009,0.022,2.388,0.037
