stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,2333,71.836,71.481,75.555,107.823,
runner.tick,2333,32.722,32.717,37.507,45.312,100.000
runner.perception_batch.update,2333,18.450,18.091,21.057,32.081,56.385
runner.robot_mask_model.update,2333,17.818,17.490,20.563,31.238,54.452
yolo_bbox_robot_blob_model.update,2333,17.810,17.483,20.554,31.233,54.427
runner.keypoint_model.update,2333,17.779,17.518,20.602,32.006,54.335
yolo_keypoint_model.update,2333,17.772,17.510,20.596,32.003,54.314
runner.camera.get,2333,12.980,13.269,16.684,19.615,39.667
yolo_bbox_robot_blob_model.inference,2333,12.422,12.103,15.200,24.265,37.961
yolo_keypoint_model.inference,2333,12.091,11.863,14.710,24.492,36.949
yolo_keypoint_model.preprocess,2333,5.305,5.176,6.368,8.872,16.211
yolo_bbox_robot_blob_model.preprocess,2333,5.241,5.116,6.397,9.336,16.016
runner.keypoint_filter,2333,0.488,0.480,0.634,2.766,1.492
yolo_keypoint_model.postprocess,2333,0.320,0.237,0.463,4.612,0.979
runner.publishers,2333,0.232,0.207,0.263,3.659,0.709
runner.control_loop.advance,2333,0.146,0.138,0.183,0.745,0.447
yolo_bbox_robot_blob_model.postprocess,2333,0.094,0.064,0.112,3.867,0.289
runner.robot_filter.update,2333,0.093,0.091,0.114,0.695,0.285
ros_publisher.publish_camera_data,2333,0.063,0.059,0.083,0.980,0.192
ros_publisher.publish_hazards,2333,0.039,0.036,0.046,2.878,0.118
ros_publisher.publish_robots,2333,0.032,0.028,0.035,0.914,0.098
ros_publisher.publish_blob_detections,2333,0.030,0.018,0.038,3.433,0.092
ros_publisher.publish_navigation,2333,0.025,0.022,0.029,3.363,0.078
runner.field_filter.track_field,2333,0.021,0.017,0.056,0.136,0.064
ros_publisher.publish_field_description,2333,0.013,0.012,0.014,0.994,0.040
ros_publisher.publish_keypoint_detections,2333,0.010,0.009,0.011,0.113,0.030
