stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,3200,66.401,66.158,70.132,107.650,
runner.tick,3200,32.645,32.761,36.341,55.151,100.000
runner.camera.get,3200,17.214,17.495,20.404,27.236,52.731
runner.perception_batch.update,3200,14.130,13.949,15.855,29.962,43.285
runner.keypoint_model.update,3200,13.981,13.829,15.666,29.777,42.828
yolo_keypoint_model.update,3200,13.975,13.822,15.660,29.770,42.810
runner.robot_mask_model.update,3200,13.440,13.285,15.113,29.669,41.171
yolo_bbox_robot_blob_model.update,3200,13.434,13.279,15.106,29.664,41.153
yolo_keypoint_model.inference,3200,8.306,8.208,9.754,22.558,25.444
yolo_bbox_robot_blob_model.inference,3200,8.185,8.059,9.479,24.226,25.074
yolo_keypoint_model.preprocess,3200,5.364,5.204,6.393,12.271,16.431
yolo_bbox_robot_blob_model.preprocess,3200,5.115,5.043,6.240,9.668,15.670
runner.keypoint_filter,3200,0.460,0.450,0.606,2.671,1.408
yolo_keypoint_model.postprocess,3200,0.255,0.220,0.307,4.379,0.781
runner.publishers,3200,0.233,0.214,0.277,3.861,0.712
runner.control_loop.advance,3200,0.153,0.140,0.191,4.284,0.469
runner.robot_filter.update,3200,0.098,0.092,0.119,4.224,0.302
yolo_bbox_robot_blob_model.postprocess,3200,0.082,0.070,0.092,3.962,0.251
ros_publisher.publish_camera_data,3200,0.067,0.062,0.082,1.014,0.205
ros_publisher.publish_hazards,3200,0.037,0.035,0.047,0.172,0.113
ros_publisher.publish_robots,3200,0.030,0.028,0.036,0.854,0.092
ros_publisher.publish_blob_detections,3200,0.027,0.019,0.039,3.619,0.084
ros_publisher.publish_navigation,3200,0.027,0.024,0.035,1.058,0.081
runner.field_filter.track_field,3200,0.023,0.017,0.061,0.168,0.071
ros_publisher.publish_field_description,3200,0.013,0.012,0.014,0.406,0.039
ros_publisher.publish_keypoint_detections,3200,0.012,0.009,0.015,1.733,0.036
