name,our_robot.start_pos,opponents,navigation.stop_distance,navigation.max_angular_command,navigation.brake_distance,ok,ticks,min_dist_m,reached,t_contact_s,facing_pct,mean_abs_ang_deg,nearwall_pct,wall_contacts,impact_speed_mps,terminal_pos_err_m,terminal_vel_mps,overshoot_m,t_to_goal_s,navigation.type,navigation.terminal_velocity
center_baseline,"[-0.9, -0.9]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",0.05,0.25,0.0,True,900,0.06,True,0.4,56.6,79.0,0.0,0,4.95,0.273,1.922,0.643,0.43,,
center_tracker,"[-0.9, -0.9]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",,0.25,,True,900,0.029,True,0.33,56.4,80.6,0.0,0,4.48,0.335,2.738,0.463,0.33,MotionProfileNavigation,3.0
short_baseline,"[-0.5, -0.5]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",0.05,0.25,0.0,True,900,0.062,True,0.23,56.4,79.0,0.0,0,5.01,0.247,1.146,0.698,0.23,,
short_tracker,"[-0.5, -0.5]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",,0.25,,True,900,0.017,True,0.23,56.1,80.9,0.0,0,4.8,0.38,3.865,0.483,0.23,MotionProfileNavigation,3.0
vt_char_0p0,"[-1.0, -1.0]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",0.0,0.25,,True,900,0.0,True,0.53,64.6,68.5,0.0,0,3.94,0.0,0.0,0.034,0.53,MotionProfileNavigation,0.0
vt_char_1p5,"[-1.0, -1.0]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",,0.25,,True,900,0.043,True,0.5,50.0,86.4,0.0,0,2.85,0.318,0.639,0.33,0.5,MotionProfileNavigation,1.5
vt_char_3p0,"[-1.0, -1.0]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",,0.25,,True,900,0.028,True,0.37,56.6,80.4,0.0,0,3.97,0.365,1.896,0.463,0.37,MotionProfileNavigation,3.0
vt_char_4p5,"[-1.0, -1.0]","[{'behavior': 'static', 'start_pos': [0.0, 0.0]}]",,0.25,,True,900,0.025,True,0.37,54.8,78.1,0.0,0,5.57,0.523,2.698,0.544,0.37,MotionProfileNavigation,4.5
