# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.140 accel_g_per_lsb=0.000488
3440853293,0,2,-2,-5,15,24,-2045
3440854291,0,4,-2,-6,7,31,-2039
3440855291,0,4,-3,-5,5,12,-2038
3440856291,0,5,-1,-7,3,18,-2040
3440857291,0,1,-5,-2,7,25,-2055
3440858291,0,5,-3,-6,7,21,-2050
3440859291,0,1,-3,-4,9,25,-2043
3440860291,0,3,-5,-2,14,19,-2046
3440861291,0,2,-1,-4,7,25,-2049
3440862291,0,0,-4,-4,4,17,-2046
3440863291,0,4,-5,-2,6,25,-2048
3440864291,0,5,-2,-3,1,23,-2054
3440865291,0,2,-2,-4,2,24,-2041
3440866291,0,0,-2,-4,13,18,-2044
3440867291,0,0,-2,-4,11,24,-2044
3440868291,0,3,-2,-1,17,20,-2049
3440869291,0,-2,-3,-5,16,19,-2037
3440870291,0,0,-2,0,8,21,-2051
3440871291,0,0,-3,-4,10,17,-2047
3440872291,0,0,-1,-3,6,26,-2047
3440873291,0,2,-1,-1,6,14,-2051
3440874291,0,3,-4,-2,7,22,-2047
3440875291,0,3,-2,-5,19,18,-2047
3440876291,0,2,-5,-2,8,21,-2038
3440877291,0,0,-1,-2,3,18,-2041
3440878291,0,1,-3,-1,11,30,-2036
3440879291,0,4,-6,-3,16,20,-2047
3440880291,0,7,-4,-3,15,22,-2048
3440881291,0,0,-4,-1,15,14,-2050
3440882291,0,1,-5,-4,3,22,-2050
3440883291,0,0,-1,-5,12,20,-2053
3440884291,0,5,-2,-4,9,16,-2044
3440885291,0,3,0,-4,9,15,-2050
3440886293,0,1,-3,-4,12,20,-2054
3440887298,0,0,-3,-5,3,25,-2051
3440888291,0,0,-4,-8,16,25,-2049
3440889291,0,0,-3,-2,10,21,-2043
3440890291,0,0,-3,-3,-2,23,-2047
