# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.140 accel_g_per_lsb=0.000488
4757096461,0,4,-1,-3,2,24,-2045
4757097455,0,0,-3,-2,0,22,-2050
4757098457,0,1,-4,-1,6,22,-2048
4757099455,0,5,-4,-6,12,25,-2040
4757100455,0,4,-1,-1,10,30,-2042
4757101455,0,7,-1,-4,4,22,-2045
4757102455,0,0,-1,-2,14,32,-2045
4757103455,0,2,-4,-4,5,17,-2040
4757104455,0,2,-2,-4,11,26,-2039
4757105455,0,3,-4,-4,19,28,-2040
4757106455,0,-2,-1,-3,9,28,-2046
4757107455,0,5,-4,-4,16,30,-2039
4757108455,0,1,-1,-4,6,27,-2049
4757109455,0,4,-3,-3,4,29,-2036
4757110455,0,-1,-4,-5,4,19,-2038
4757111455,0,1,-3,-3,11,25,-2042
4757112455,0,4,0,-5,9,27,-2042
4757113455,0,1,-3,-4,12,23,-2047
4757114455,0,4,0,-2,8,25,-2044
4757115455,0,3,-3,-2,6,22,-2041
4757116455,0,5,-5,-3,7,18,-2049
4757117455,0,0,-1,-3,5,26,-2038
4757118455,0,1,-1,-3,13,17,-2051
4757119455,0,2,-1,-2,13,20,-2051
4757120455,0,3,-2,-2,5,22,-2042
4757121455,0,2,-7,-3,11,22,-2053
4757122455,0,4,-1,-3,1,23,-2043
4757123455,0,4,-6,-5,5,26,-2040
4757124455,0,-3,1,-2,12,20,-2052
4757125455,0,2,-1,-1,8,15,-2045
4757126455,0,1,-1,-1,9,23,-2044
4757127455,0,-3,2,-1,13,21,-2050
4757128455,0,0,-2,-1,10,19,-2045
4757129455,0,4,-3,-3,13,21,-2048
4757130455,0,0,3,-1,10,12,-2043
4757131455,0,2,-1,-2,13,25,-2047
4757132455,0,7,-3,-2,10,25,-2042
4757133455,0,0,-1,-4,6,25,-2045
4757134455,0,4,-3,-2,17,15,-2046
4757135455,0,5,-3,1,8,20,-2043
4757136455,0,5,-7,-3,17,24,-2045
4757137455,0,3,-5,-3,2,17,-2053
4757138455,0,-1,-1,0,9,20,-2049
4757139455,0,3,-3,-3,12,24,-2046
4757140455,0,3,-3,-4,14,25,-2039
4757141455,0,-3,-1,-1,6,24,-2043
4757142455,0,1,-3,-6,10,25,-2049
4757143455,0,1,-2,-6,8,35,-2044
4757144455,0,2,-4,-6,8,20,-2048
4757145455,0,-1,-3,-3,4,26,-2042
4757146455,0,-1,1,-4,7,29,-2046
4757147455,0,0,-3,-2,9,19,-2044
4757148455,0,0,-3,-4,7,25,-2048
4757149455,0,6,-2,-4,14,24,-2049
4757150455,0,4,-4,-4,6,12,-2051
4757151455,0,3,-7,-4,10,24,-2043
4757152455,0,1,2,-3,8,27,-2044
4757153455,0,2,-1,-2,1,31,-2052
4757154455,0,0,-3,-2,8,23,-2041
4757155455,0,1,-4,-5,12,24,-2038
4757156455,0,1,3,-3,5,17,-2047
4757157455,0,1,1,-5,9,20,-2042
4757158455,0,2,-3,-2,16,26,-2050
4757159455,0,1,-4,-5,6,23,-2049
4757160455,0,4,-3,-4,8,27,-2052
4757161455,0,1,2,-3,19,23,-2048
4757162455,0,1,-2,-3,13,21,-2047
