# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
5116914103,0,11,-2,-9,41,14,-4090
5116915103,0,8,-1,-7,69,24,-4092
5116916103,0,7,-7,-6,38,23,-4097
5116917103,0,5,-6,-11,57,30,-4093
5116918103,0,5,-1,-10,47,37,-4089
5116919103,0,3,-3,-10,50,38,-4078
5116920103,0,6,-6,-12,39,52,-4092
5116921103,0,8,-7,-10,37,46,-4091
5116922103,0,7,-2,-5,37,46,-4090
5116923103,0,6,-13,-9,53,48,-4087
5116924103,0,8,-8,-12,39,48,-4091
5116925103,0,4,-4,-5,58,51,-4088
5116926103,0,2,-6,-8,50,65,-4086
5116927103,0,6,-1,-5,54,53,-4082
5116928103,0,1,-1,-3,35,73,-4087
5116929103,0,4,-1,-10,51,70,-4090
5116930103,0,5,-3,-9,42,49,-4091
5116931103,0,5,-2,-2,46,52,-4091
5116932103,0,7,-1,-3,42,76,-4093
5116933103,0,-2,-1,-4,38,55,-4076
5116934103,0,8,-2,-9,36,59,-4081
5116935103,0,10,-4,-6,42,54,-4080
5116936103,0,2,1,-13,33,48,-4087
5116937103,0,7,-5,-8,44,52,-4066
5116938103,0,5,-2,-8,34,47,-4079
5116939103,0,6,0,-9,41,37,-4079
5116940103,0,5,-2,-7,37,43,-4070
5116941103,0,4,-3,-5,52,30,-4077
5116942103,0,9,-8,-7,56,46,-4082
5116943103,0,2,-6,-9,53,39,-4067
5116944103,0,3,-3,-8,47,49,-4090
5116945103,0,0,-7,-7,47,42,-4080
5116946103,0,0,-3,-8,54,34,-4091
5116947103,0,3,-4,-11,36,32,-4095
5116948103,0,-3,-8,-10,51,36,-4079
5116949103,0,3,0,-8,51,39,-4075
5116950103,0,5,-9,-8,51,41,-4082
5116951103,0,1,-2,-1,47,44,-4092
5116952103,0,9,0,-8,50,40,-4090
5116953103,0,8,-2,-8,43,27,-4099
5116954103,0,3,-2,-4,46,47,-4094
5116955103,0,1,-6,-7,38,17,-4080
5116956103,0,5,-3,-7,42,30,-4093
5116957103,0,7,0,-5,26,34,-4086
5116958103,0,4,0,-7,48,33,-4088
5116959103,0,0,-2,-5,32,27,-4076
5116960103,0,4,-5,-2,58,44,-4085
5116961103,0,4,-6,-13,60,38,-4085
5116962103,0,0,-2,-10,56,52,-4089
5116963103,0,3,-2,-9,47,48,-4082
5116964103,0,6,-11,-9,57,48,-4080
5116965103,0,1,-5,-10,53,42,-4097
5116966103,0,1,-12,-9,50,56,-4088
5116967103,0,4,-5,-7,37,43,-4097
5116968103,0,8,1,-9,53,50,-4094
5116969103,0,2,-6,-6,44,49,-4091
5116970103,0,10,-1,-7,45,52,-4096
5116971103,0,5,-5,-4,17,48,-4090
5116972103,0,1,-4,-6,33,50,-4093
5116973103,0,5,0,-8,42,37,-4085
5116974103,0,4,-6,-7,39,58,-4092
5116975103,0,7,-2,-7,43,47,-4075
5116976103,0,8,-2,-4,47,50,-4092
5116977103,0,3,-3,-10,40,57,-4083
5116978103,0,3,-1,-5,48,48,-4081
5116979103,0,9,-2,-9,48,39,-4097
5116980103,0,2,-3,-4,50,37,-4093
5116981103,0,10,-6,-7,72,52,-4083
5116982103,0,7,-4,-7,51,41,-4090
5116983103,0,6,-1,-9,57,41,-4086
5116984103,0,4,-4,-6,48,37,-4083
5116985103,0,5,-7,-7,48,31,-4092
5116986103,0,9,3,-7,45,36,-4098
5116987103,0,9,-10,-7,38,29,-4093
5116988103,0,2,-5,-9,29,31,-4084
5116989103,0,3,-6,-5,37,28,-4079
5116990103,0,5,-2,-12,44,29,-4086
5116991103,0,3,-1,-9,32,36,-4088
5116992103,0,8,-3,-5,41,43,-4101
5116993103,0,13,-8,-6,40,35,-4096
5116994103,0,4,-4,-5,45,34,-4102
5116995103,0,-2,-1,-7,58,46,-4098
5116996103,0,12,-3,-11,28,42,-4086
5116997103,0,5,-3,-5,49,36,-4080
5116998103,0,2,-11,-8,49,44,-4088
5116999103,0,4,-1,-4,47,49,-4071
5117000103,0,3,0,-6,50,45,-4074
5117001103,0,6,-11,-9,56,42,-4083
5117002103,0,6,-7,-7,54,35,-4071
5117003103,0,6,-6,-8,47,30,-4090
5117004103,0,9,-2,-3,43,43,-4082
5117005103,0,1,0,-5,48,36,-4077
5117006103,0,2,-5,-7,47,34,-4085
5117007103,0,8,-3,-10,46,42,-4089
5117008103,0,8,-13,-9,36,38,-4103
5117009103,0,9,-7,-6,42,47,-4089
5117010103,0,2,-6,-9,51,48,-4089
5117011103,0,7,-5,-9,43,36,-4077
5117012103,0,7,-3,-5,39,38,-4093
5117013103,0,2,-4,-7,48,46,-4090
5117014103,0,11,-6,-6,44,55,-4086
5117015103,0,6,-2,-8,49,34,-4090
5117016103,0,1,-3,-6,52,53,-4090
5117017103,0,5,-4,-7,49,52,-4107
5117018103,0,-3,-1,-5,36,41,-4090
5117019103,0,8,-6,-11,58,46,-4096
5117020103,0,2,-1,-6,42,37,-4088
5117021103,0,7,-3,-4,39,43,-4097
5117022103,0,-1,0,-9,48,44,-4092
5117023103,0,-1,-3,-7,34,41,-4090
5117024103,0,7,-7,-7,38,40,-4094
5117025103,0,7,-5,-7,39,31,-4090
5117026103,0,3,-5,-5,44,41,-4095
5117027103,0,2,-7,-5,32,45,-4081
5117028103,0,4,-4,-3,38,42,-4095
5117029103,0,4,1,-7,42,48,-4094
5117030103,0,5,-7,-12,40,33,-4076
5117031103,0,-3,-7,-4,51,44,-4088
5117032103,0,0,1,-7,50,44,-4094
5117033103,0,9,-1,-8,47,32,-4096
5117034103,0,4,-5,-8,44,28,-4099
