# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
5150646354,0,47,-26,-6,263,317,-6987
5150647352,0,44,-79,-6,2898,871,-2624
5150648352,0,70,-158,-15,-1077,-933,-5275
5150649352,0,46,-113,11,-653,60,-3199
5150650352,0,10,-53,6,-896,124,-3442
5150651352,0,30,-16,5,-258,-250,-4107
5150652352,0,8,-26,-1,558,-20,-3995
5150653352,0,10,-39,0,-52,245,-4482
5150654352,0,31,-54,-8,-184,295,-4362
5150655352,0,35,-36,6,114,16,-3888
5150656352,0,9,-15,-3,-268,-147,-3930
5150657352,0,42,-71,9,835,98,-4004
5150658352,0,51,-124,1,398,473,-4432
5150659352,0,50,-106,-5,-264,134,-3840
5150660352,0,18,-38,-5,-904,-153,-3611
5150661352,0,-14,26,2,-434,-164,-3708
5150662352,0,-11,33,11,330,3,-4007
5150663352,0,0,-8,-1,473,197,-4221
5150664352,0,-1,-19,-3,273,269,-4188
5150665352,0,14,-17,-4,-154,227,-4118
5150666352,0,14,-5,-11,-195,67,-3963
5150667352,0,1,7,-10,-9,-47,-3946
5150668352,0,0,7,-14,49,-19,-3991
5150669352,0,4,4,-12,57,89,-4095
5150670352,0,7,2,-10,25,78,-4119
5150671352,0,7,9,-9,73,23,-4066
5150672352,0,0,4,-3,217,-33,-4076
5150673352,0,3,-1,-10,244,5,-4071
5150674352,0,6,-12,-5,208,123,-4097
5150675352,0,10,-14,-12,86,147,-4089
5150676352,0,14,-14,-11,-2,21,-4086
5150677352,0,5,-9,-9,-1,-47,-4070
5150678352,0,8,-6,-9,15,-68,-4041
5150679363,0,0,-5,-4,48,-11,-4057
5150680352,0,3,-11,-12,47,70,-4119
5150681352,0,5,-12,-7,4,71,-4152
5150682352,0,4,-12,-8,-17,38,-4165
5150683352,0,8,-17,-12,-24,24,-4116
5150684352,0,6,-8,-7,-30,31,-4101
5150685352,0,5,-1,-7,-7,14,-4107
5150686352,0,2,-5,0,-15,22,-4112
5150687352,0,3,-3,-7,4,27,-4091
5150688352,0,1,-2,-2,33,24,-4107
5150689352,0,5,-4,-4,58,36,-4081
5150690352,0,6,-5,-15,64,55,-4084
5150691352,0,0,-1,-8,58,40,-4065
5150692352,0,9,-3,-10,68,12,-4084
5150693352,0,5,-2,-4,77,2,-4074
5150694352,0,3,-10,-5,65,35,-4077
5150695352,0,2,-8,-10,69,56,-4067
5150696352,0,4,-7,-4,68,76,-4063
5150697352,0,2,-10,-6,44,74,-4070
5150698352,0,-3,-8,-5,63,74,-4077
5150699352,0,8,-11,-8,44,45,-4090
5150700352,0,5,-7,-3,47,59,-4086
