# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
3315306569,0,39,-69,-4,-21,-26,-4168
3315307567,0,35,-65,3,-21,24,-4057
3315308569,0,32,-57,-3,-39,13,-4029
3315309567,0,32,-52,0,25,38,-4090
3315310567,0,4,-1,-2,-157,-6,-3245
3315311567,0,-69,25,7,-1288,-493,-5009
3315312567,0,28,-9,5,1888,1429,-4455
3315313567,0,34,-55,-6,1555,496,-4150
3315314567,0,75,-138,-18,194,-210,-4441
3315315567,0,31,-88,-1,-833,0,-3802
3315316567,0,22,-30,-6,-515,12,-4018
3315317567,0,29,-19,-1,-58,-114,-4017
3315318567,0,7,-27,-2,478,-16,-3983
3315319567,0,25,-44,3,167,111,-4323
3315320567,0,34,-53,11,162,-26,-4145
3315321567,0,-1,-30,11,-136,-330,-3721
3315322567,0,-11,-23,7,-210,-183,-3895
3315323567,0,-14,-19,14,65,-70,-4033
3315324567,0,-12,-31,8,145,40,-4121
3315325567,0,10,-58,-6,154,339,-4294
3315326567,0,3,-44,-3,-31,312,-4104
3315327567,0,8,-24,-11,-496,3,-4013
3315328567,0,8,2,1,-127,-214,-3986
3315329567,0,-22,11,8,6,-185,-3946
3315330567,0,-10,3,-5,-38,373,-4313
3315331567,0,8,-2,5,141,551,-4444
3315332567,0,19,-17,-7,154,33,-4168
3315333567,0,3,-16,6,-28,-335,-3964
3315334567,0,-13,-7,5,-124,-8,-4012
3315335567,0,-9,1,5,-61,53,-4092
3315336567,0,-8,-6,-3,147,121,-4129
3315337567,0,-6,-9,3,251,137,-4131
3315338567,0,4,-19,1,86,183,-4134
3315339577,0,4,-9,-4,12,151,-4038
3315340567,0,1,-6,4,-19,163,-3983
3315341567,0,2,-8,-4,-40,120,-3963
3315342567,0,1,1,-3,82,151,-4066
3315343567,0,1,-5,4,44,166,-4059
3315344567,0,7,-7,-4,52,115,-4093
3315345567,0,1,-5,3,45,100,-4039
3315346567,0,4,-8,-4,-65,98,-4037
3315347567,0,-5,4,-1,-36,157,-4018
3315348567,0,3,0,-3,82,179,-4054
3315349567,0,-1,1,-3,96,208,-4101
3315350567,0,-1,4,-1,99,187,-4103
3315351567,0,4,-4,-7,59,137,-4066
3315352567,0,2,0,-10,42,100,-4029
3315353567,0,3,4,-4,90,100,-4022
3315354567,0,3,2,-6,120,99,-4043
3315355567,0,6,4,-6,114,97,-4049
3315356567,0,12,-9,-16,114,80,-4059
3315357567,0,2,-8,-11,85,60,-4065
3315358567,0,3,-2,-13,68,36,-4057
3315359567,0,7,-9,-9,60,29,-4065
3315360567,0,6,-8,-9,38,46,-4084
3315361567,0,1,-4,-13,29,33,-4127
3315362567,0,3,-10,-10,3,11,-4129
3315363567,0,2,-7,-11,1,2,-4125
3315364567,0,3,-8,-6,0,-12,-4129
3315365567,0,1,-5,-12,-7,-23,-4132
3315366567,0,1,3,-8,-9,-4,-4126
3315367567,0,7,-8,-11,-1,-5,-4122
3315368567,0,3,-2,-8,2,-13,-4122
3315369567,0,2,3,-1,33,-16,-4103
3315370567,0,0,-3,-8,44,-18,-4087
3315371567,0,10,1,-6,39,-6,-4060
3315372567,0,3,2,-8,58,5,-4058
3315373567,0,5,-6,-4,73,13,-4072
3315374567,0,-2,-1,-2,84,30,-4058
3315375567,0,-1,-6,-11,81,31,-4069
3315376567,0,4,-14,-10,75,31,-4076
3315377567,0,-5,-1,-4,87,34,-4066
3315378567,0,3,-10,-3,60,44,-4077
3315379567,0,1,-5,-7,57,69,-4064
3315380567,0,7,-4,-3,31,75,-4084
3315381567,0,2,-5,-6,47,76,-4087
3315382567,0,3,-4,-6,44,88,-4095
3315383567,0,2,-8,-5,38,86,-4084
3315384567,0,5,-7,-7,7,112,-4093
3315385567,0,6,-8,-7,8,111,-4088
3315386567,0,-2,0,-4,20,122,-4100
3315387567,0,1,-5,-4,39,127,-4088
3315388567,0,2,-8,-5,22,109,-4096
3315389567,0,6,-5,-4,30,108,-4102
3315390567,0,6,2,-2,31,112,-4091
3315391567,0,1,-7,-13,35,99,-4099
3315392567,0,5,-2,-6,51,113,-4083
3315393567,0,4,-8,-8,47,92,-4091
3315394567,0,7,-8,-11,37,81,-4077
3315395567,0,2,-6,-7,46,76,-4066
3315396567,0,7,-7,-8,56,78,-4094
3315397567,0,4,-9,-6,60,52,-4076
3315398567,0,5,-7,-4,63,57,-4073
3315399567,0,2,-8,-5,62,36,-4088
3315400567,0,6,-6,-7,50,17,-4094
3315401567,0,0,-2,-9,43,21,-4082
3315402567,0,9,-4,-8,41,17,-4076
3315403567,0,8,-7,-6,46,13,-4089
3315404567,0,0,-7,-7,45,18,-4098
3315405567,0,5,-3,-8,35,10,-4088
3315406567,0,5,-2,-9,34,12,-4080
3315407567,0,9,-6,-7,45,9,-4105
3315408567,0,1,-4,-7,21,1,-4088
3315409567,0,4,-6,-9,30,19,-4087
3315410567,0,6,-8,-9,51,15,-4106
3315411567,0,4,-4,-9,40,12,-4102
3315412567,0,9,-7,-9,42,40,-4091
3315413567,0,5,-5,-3,37,43,-4098
3315414567,0,4,-5,-2,44,44,-4073
3315415567,0,6,-9,-7,38,47,-4101
3315416567,0,3,-3,-10,42,50,-4103
3315417567,0,2,-3,-5,39,61,-4076
3315418567,0,11,-6,-8,46,67,-4087
3315419567,0,-1,-3,-3,46,69,-4075
3315420567,0,9,-3,-7,46,63,-4081
3315421567,0,3,1,-1,34,82,-4090
3315422567,0,0,-5,-5,39,86,-4068
3315423567,0,5,-6,-4,30,68,-4074
3315424567,0,7,-9,-3,46,83,-4079
3315425567,0,5,0,-7,43,82,-4083
3315426567,0,3,-6,-6,41,85,-4086
3315427567,0,5,-4,-8,42,85,-4081
3315428567,0,0,-4,-6,31,69,-4086
3315429567,0,6,-5,-8,38,77,-4071
3315430567,0,4,-3,-9,45,79,-4104
3315431567,0,4,-5,-13,37,69,-4084
3315432567,0,3,1,-9,30,69,-4093
3315433567,0,0,-1,-5,41,76,-4095
3315434567,0,2,-6,-14,46,68,-4091
3315435567,0,3,1,-7,33,50,-4086
3315436567,0,2,-5,0,34,65,-4077
3315437567,0,8,-4,-8,43,37,-4087
3315438567,0,-3,-1,0,45,64,-4095
3315439567,0,1,-4,-6,34,54,-4071
3315440567,0,3,-4,-5,39,37,-4089
3315441567,0,5,5,-8,36,36,-4094
3315442567,0,7,-13,-7,53,42,-4094
3315443567,0,3,-6,-9,34,31,-4089
3315444567,0,4,-5,-10,42,27,-4082
3315445567,0,7,-6,-9,34,26,-4098
3315446567,0,11,-3,-10,42,25,-4092
3315447567,0,1,-8,-5,45,33,-4100
3315448567,0,3,-7,-10,49,26,-4078
3315449567,0,5,-4,-7,34,38,-4077
3315450567,0,5,-6,-4,41,14,-4079
3315451567,0,4,-2,-11,47,25,-4082
3315452567,0,8,-3,-12,40,44,-4076
3315453567,0,10,-3,-10,50,47,-4075
3315454567,0,-6,2,-7,56,41,-4070
