# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
1396853398,0,6,0,-3,-16,83,-4074
1396854395,0,5,-3,-1,-18,90,-4073
1396855393,0,8,-9,-5,-40,111,-4082
1396856393,0,5,-7,-2,-46,124,-4103
1396857393,0,2,-7,-5,-56,125,-4127
1396858393,0,1,-4,-4,-56,121,-4117
1396859393,0,1,-2,-6,-64,138,-4119
1396860393,0,4,-5,-6,-71,148,-4117
1396861393,0,1,-4,-6,-46,131,-4113
1396862393,0,0,-2,-6,-54,128,-4122
1396863393,0,2,-2,-12,-41,117,-4113
1396864393,0,4,-5,-10,-39,121,-4118
1396865393,0,5,-5,-7,-33,114,-4119
1396866393,0,3,-3,-6,-38,90,-4106
1396867393,0,3,-6,-5,-43,79,-4102
1396868393,0,5,-2,-11,-24,63,-4086
1396869393,-1,6,-1,-8,-35,66,-4075
1396870393,-1,5,-3,-6,-23,59,-4084
1396871393,-1,4,-3,-8,-21,44,-4053
1396872393,-1,6,-4,-12,-31,44,-4072
1396873393,-1,5,-3,-15,-25,32,-4066
1396874393,-1,5,-4,-16,-36,18,-4063
1396875393,-1,7,-8,-16,-11,18,-4082
1396876393,-1,3,-6,-15,-24,-1,-4071
1396877393,-1,4,-5,-17,-35,-19,-4072
1396878393,-1,0,-3,-8,-30,-4,-4087
1396879393,-1,4,-5,-10,-30,-20,-4085
1396880393,-1,4,-3,-8,-37,-6,-4084
1396881393,0,2,0,-5,-37,-21,-4094
1396882393,0,3,-8,-4,-23,-12,-4084
1396883393,0,3,-2,-6,-33,-19,-4106
1396884393,0,11,-5,-4,-43,-23,-4102
1396885393,0,8,-7,-6,-46,-28,-4106
1396886403,0,2,-2,-11,-40,-10,-4101
1396887397,0,5,-3,-6,-36,9,-4112
1396888393,0,10,1,-11,-55,11,-4113
1396889393,0,2,-2,-7,-47,7,-4092
1396890393,0,3,-9,-4,-38,24,-4117
1396891393,0,-1,-1,-6,-41,21,-4077
1396892393,0,8,-7,-6,-31,41,-4094
1396893393,0,2,-5,-4,-28,46,-4100
1396894393,0,-2,-2,-3,-29,61,-4091
1396895393,0,1,-2,-2,-31,58,-4092
1396896393,0,4,-11,-4,-35,60,-4098
1396897393,0,2,-4,-8,-47,75,-4083
1396898393,0,11,-6,-3,-16,89,-4081
1396899393,0,1,-1,-3,-32,104,-4079
1396900393,0,3,-4,-7,-21,99,-4073
1396901393,0,0,-6,-3,-27,103,-4077
1396902393,0,11,0,-7,-44,94,-4080
1396903393,0,5,-7,-7,-27,104,-4068
1396904393,0,0,-2,-9,-37,96,-4080
1396905393,0,2,-10,-9,-40,90,-4077
1396906393,0,8,-13,-10,-37,98,-4069
1396907393,0,2,-7,-8,-51,90,-4076
1396908393,0,4,-5,-8,-40,79,-4089
1396909393,0,2,-4,-10,-38,83,-4080
1396910393,0,5,2,-11,-43,84,-4083
1396911393,0,3,-2,-11,-38,82,-4083
1396912393,0,4,-3,-8,-27,63,-4084
1396913393,0,2,-1,-4,-45,58,-4092
1396914393,0,4,-4,-6,-33,60,-4099
1396915393,0,3,-3,-7,-34,40,-4112
1396916393,-1,3,-6,-5,-42,43,-4107
1396917393,-1,7,-2,-7,-28,26,-4108
1396918393,-1,1,-3,-5,-44,9,-4120
1396919393,-1,4,-11,-8,-42,11,-4102
1396920393,-1,0,-1,-7,-38,11,-4109
1396921393,-1,11,-4,-12,-40,-8,-4106
1396922393,-1,2,-5,-12,-42,5,-4084
1396923393,0,4,0,-5,-42,-5,-4093
1396924393,0,5,-5,-7,-40,4,-4083
1396925393,0,3,-3,-4,-36,5,-4077
1396926393,0,3,-8,-11,-32,-4,-4086
1396927393,0,1,-4,-8,-42,22,-4105
1396928393,0,8,-4,-14,-54,7,-4069
1396929393,0,0,-3,-4,-40,17,-4083
1396930393,0,5,-8,-17,-27,30,-4080
1396931393,0,2,-8,-7,-21,36,-4094
1396932393,0,8,-3,-10,-23,27,-4098
1396933393,0,7,-6,-7,-34,22,-4087
1396934393,0,4,-3,-4,-38,23,-4105
1396935393,0,11,-9,-7,-31,37,-4070
