# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
62748443,0,-3,1,-6,19,93,-4096
62749439,0,2,-4,-5,-54,84,-4094
62750439,0,9,-2,-5,-38,64,-4072
62751439,0,6,-6,2,-36,60,-4077
62752439,0,11,1,-1,-15,73,-4079
62753439,0,6,-1,0,-4,79,-4041
62754439,0,11,-15,-5,-17,85,-4069
62755439,0,4,-1,-1,-13,81,-4088
62756439,0,4,-4,-4,-4,132,-4091
62757439,0,-2,-4,-7,26,141,-4093
62758439,0,0,-2,-6,29,163,-4092
62759439,0,3,-7,-2,20,133,-4078
62760439,0,1,-8,-1,-12,133,-4085
62761439,0,2,-7,-7,-28,154,-4072
62762439,0,4,-5,-6,-24,154,-4078
62763439,0,3,-5,-2,-11,150,-4080
62764439,0,11,-4,-6,-10,175,-4081
62765439,0,11,-6,-5,-19,180,-4089
62766439,0,4,-9,-8,-38,164,-4091
62767439,0,10,-12,-2,-33,126,-4092
62768439,0,6,-6,-11,-64,94,-4097
62769439,0,1,1,-10,-73,76,-4096
62770439,0,3,2,-13,-64,85,-4082
62771439,0,10,2,-16,-68,64,-4080
62772439,-1,1,3,-13,-57,65,-4094
62773439,-1,6,0,-11,-24,52,-4097
62774439,-1,1,4,-5,9,73,-4074
62775439,-1,4,3,-9,-1,68,-4093
62776439,-1,2,1,-7,3,57,-4076
62777439,-1,2,1,-6,-10,34,-4083
62778439,-1,3,-4,-7,-16,9,-4090
62779439,-1,4,-6,-9,-17,-10,-4082
62780439,-1,6,3,-9,-22,-4,-4091
62781441,-1,10,-8,-12,-17,-23,-4105
62782440,0,11,-1,-6,14,-38,-4097
62783439,0,0,-3,-6,17,-32,-4097
62784439,0,5,-5,-10,10,-32,-4102
62785439,0,-1,-3,-8,-17,-32,-4107
62786439,0,4,-10,-6,-9,-17,-4109
62787439,0,7,-8,-6,-6,-1,-4099
62788439,0,9,-9,-9,-23,3,-4107
62789439,0,1,-7,-7,-10,0,-4093
62790439,0,4,-4,-9,-18,10,-4101
62791439,0,3,-3,-7,-13,37,-4098
62792439,0,11,-10,-9,-20,47,-4092
62793439,0,0,-1,-5,-27,44,-4114
62794439,0,7,-9,-6,-15,57,-4086
62795439,0,8,-7,-2,-40,45,-4096
62796439,0,4,0,-4,-46,68,-4092
62797439,0,-1,-4,-4,-40,68,-4096
62798439,0,-3,-3,-6,-34,87,-4086
62799439,0,3,-3,-7,-15,98,-4096
62800439,0,8,-9,-7,-9,113,-4088
62801439,0,-2,3,0,-25,122,-4072
62802439,0,4,-3,-7,-31,116,-4083
62803439,0,4,-1,0,-27,123,-4080
62804439,0,4,-3,-5,-14,127,-4071
62805439,0,7,-8,-8,-15,120,-4079
62806439,0,2,-2,1,-18,122,-4085
62807439,0,4,-4,-9,-8,133,-4080
62808439,0,11,-6,-10,-24,133,-4080
62809439,0,5,-3,-6,-21,108,-4086
62810439,0,5,-3,-7,-13,110,-4105
62811439,0,2,-4,-9,-26,97,-4092
62812439,0,5,-3,-9,-26,94,-4096
62813439,0,3,-4,-11,-19,81,-4081
62814439,0,2,-2,-7,-24,80,-4089
62815439,0,-1,-3,-9,-18,67,-4095
62816439,0,1,-5,-5,-30,71,-4099
62817439,0,4,1,-4,-28,62,-4082
62818439,0,5,-9,-7,-22,53,-4082
62819439,0,3,-7,-2,-27,40,-4093
62820439,0,8,-8,-5,-14,31,-4082
62821439,0,5,-2,-8,-23,36,-4098
