# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
2714959915,0,2,-2,-4,27,42,-4040
2714960909,0,6,-4,-4,45,29,-4065
2714961909,0,10,-6,-2,41,-7,-4056
2714962909,0,10,-7,-7,44,-8,-4048
2714963909,0,5,-6,-12,9,-18,-4066
2714964910,0,2,-5,-6,1,-42,-4094
2714965909,0,0,-3,-14,16,-29,-4078
2714966910,0,2,0,-3,18,-11,-4086
2714967911,0,1,0,-8,29,-6,-4097
2714968909,0,4,-2,-6,37,5,-4105
2714969909,0,8,-4,-6,14,-9,-4126
2714970909,0,0,-3,-9,15,-29,-4105
2714971909,0,-1,-9,-9,-6,-39,-4118
2714972909,0,5,-6,-8,-30,-52,-4110
2714973909,0,5,-6,-9,-31,-33,-4093
2714974909,0,3,-3,-3,-19,-27,-4109
2714975909,0,0,-8,-11,6,-20,-4104
2714976909,1,2,5,-2,-12,-12,-4109
2714977909,1,1,-4,-5,2,-16,-4103
2714978909,1,6,-4,-5,3,-4,-4092
2714979909,1,6,-7,-8,10,29,-4084
2714980909,1,4,-7,-5,-3,30,-4101
2714981909,1,4,-2,-8,15,15,-4083
2714982909,1,3,-11,-4,24,24,-4083
2714983909,1,-4,-5,1,24,30,-4086
2714984909,1,8,-7,-4,16,42,-4078
2714985909,1,4,-4,-4,23,36,-4065
2714986909,1,5,1,-11,33,55,-4060
2714987909,1,3,-10,-9,33,57,-4066
2714988909,1,0,-1,-7,21,49,-4077
2714989909,1,-1,-2,-13,8,49,-4063
2714990909,1,1,-12,-9,6,48,-4080
2714991909,1,6,-5,-6,4,46,-4083
2714992912,1,-1,-4,-5,-1,44,-4085
2714993922,1,6,-2,-6,15,51,-4081
2714994909,1,2,-8,-5,2,62,-4086
2714995909,1,7,-4,-7,8,62,-4097
2714996909,1,5,2,-7,-6,47,-4103
2714997909,1,0,-7,-7,-3,38,-4112
2714998909,0,2,0,-6,5,31,-4110
2714999909,0,-1,-6,-4,2,28,-4104
2715000909,0,1,0,-8,-3,45,-4099
2715001909,0,4,-4,-2,-3,25,-4089
2715002909,0,3,-3,-8,2,23,-4091
2715003909,0,5,-2,-13,-5,11,-4089
2715004909,0,6,-11,-11,-1,6,-4103
2715005909,0,3,1,-7,-2,-4,-4098
2715006909,0,6,-5,-6,2,-6,-4091
2715007909,0,2,-8,-10,8,-14,-4077
2715008909,0,4,-6,-7,18,-15,-4085
2715009909,0,6,-9,-11,9,-26,-4086
2715010909,0,-1,-1,-7,16,-27,-4092
2715011909,0,2,-1,-4,18,-28,-4075
2715012909,0,6,-4,-3,19,-31,-4095
2715013909,0,3,1,-6,24,-11,-4093
2715014909,0,6,-6,-8,9,-5,-4093
2715015909,0,6,-5,-9,11,-10,-4088
2715016909,0,7,-7,-11,12,-16,-4081
2715017909,1,5,-3,-7,7,3,-4090
2715018909,1,3,-5,-4,22,5,-4082
2715019909,1,2,-12,-7,10,13,-4092
2715020909,1,6,-8,-9,-3,11,-4087
2715021909,1,1,-1,-12,-4,7,-4085
2715022909,1,6,-5,-6,-1,20,-4112
2715023909,1,2,-7,-5,6,32,-4107
2715024909,1,6,-6,-6,-12,33,-4077
2715025909,1,2,-6,-5,-7,45,-4088
2715026909,1,-1,-4,-4,2,32,-4078
2715027909,1,1,-1,-7,10,38,-4090
2715028909,1,4,-6,-8,10,56,-4089
2715029909,1,11,-1,-2,13,45,-4079
2715030909,1,6,-8,-5,16,47,-4087
2715031909,1,8,-11,-7,16,48,-4082
2715032909,1,9,-7,-4,25,56,-4096
2715033909,1,2,-9,-9,20,34,-4083
2715034909,1,-1,-6,-9,13,28,-4088
2715035909,1,-1,3,-5,9,25,-4067
2715036909,1,5,-3,-3,18,40,-4090
2715037909,1,3,-8,-4,19,24,-4085
2715038909,1,3,-4,-9,10,19,-4085
2715039909,1,1,-2,-3,9,7,-4084
2715040909,1,4,-4,-10,11,1,-4095
2715041909,1,5,-7,-11,13,14,-4093
2715042909,0,4,-3,-4,10,4,-4075
2715043909,0,0,-7,-5,14,4,-4078
2715044909,0,3,-6,-9,20,13,-4079
2715045909,0,9,-2,-10,19,-4,-4101
2715046909,0,1,-1,-8,-1,9,-4102
2715047909,0,4,-9,-5,16,16,-4096
2715048909,0,5,0,-10,4,-4,-4114
2715049909,0,4,-4,-4,18,0,-4110
2715050909,0,0,-5,-5,10,-11,-4093
2715051909,0,2,-2,-9,9,10,-4082
2715052909,0,2,-7,-8,21,0,-4096
2715053909,0,2,1,-6,2,12,-4089
2715054909,0,8,-6,-6,7,-5,-4097
2715055909,0,-1,-3,-6,15,-1,-4097
2715056909,1,6,-3,-6,11,17,-4098
2715057909,1,5,-8,-9,11,23,-4085
2715058909,1,0,1,-2,24,5,-4093
2715059909,1,2,-3,-2,2,12,-4084
2715060909,1,7,-3,-7,11,14,-4087
2715061909,1,6,-7,-8,-2,22,-4099
2715062909,1,0,-2,-10,-3,13,-4079
2715063909,1,1,-5,-6,16,35,-4078
2715064909,1,4,-4,-8,-4,41,-4079
2715065909,1,2,-8,-3,5,24,-4090
2715066909,1,1,-9,-2,8,38,-4088
2715067909,1,1,-2,-7,10,32,-4088
2715068909,1,0,-6,-8,7,36,-4097
2715069909,1,0,-5,-12,7,22,-4105
2715070909,1,7,-6,-12,17,34,-4077
2715071909,1,1,-5,-5,10,41,-4107
2715072909,1,0,1,-7,10,41,-4104
2715073909,1,0,-6,-8,1,24,-4099
2715074909,1,4,-2,-6,-1,28,-4082
2715075909,1,6,-2,-10,7,25,-4099
2715076909,1,5,-5,-8,16,25,-4084
2715077909,1,4,-2,-9,5,20,-4099
2715078909,1,10,-4,-7,7,18,-4098
2715079909,1,6,-13,-2,14,12,-4081
2715080909,1,6,-9,-5,11,21,-4092
2715081909,1,2,-5,-4,12,19,-4094
2715082909,1,4,0,-4,11,25,-4096
2715083909,1,2,-6,-6,10,11,-4085
2715084909,1,3,1,-6,8,0,-4095
2715085909,1,6,-1,-6,3,0,-4108
2715086909,1,8,-6,-6,16,-6,-4108
2715087909,1,7,-6,-6,17,-6,-4097
2715088909,1,9,-7,-5,2,14,-4084
2715089909,1,5,-5,-9,3,18,-4083
2715090909,1,4,2,-6,-11,3,-4098
2715091909,1,9,-7,-7,-3,-2,-4070
2715092909,1,2,-8,-7,11,15,-4103
2715093909,1,7,-3,-3,3,11,-4082
2715094909,1,5,1,-8,4,15,-4083
2715095909,1,3,-2,-6,12,-1,-4088
2715096909,1,5,-1,-7,7,21,-4093
2715097909,1,4,-5,-7,4,18,-4078
2715098909,1,2,-9,-8,11,15,-4079
2715099909,1,-1,1,-6,8,25,-4098
2715100909,1,2,-4,-1,6,17,-4087
2715101909,1,-2,-3,-5,10,36,-4089
2715102909,1,8,-6,-3,22,21,-4108
2715103909,1,0,-8,-9,-6,34,-4112
2715104909,1,2,-3,-4,7,32,-4101
2715105909,1,3,-6,-6,18,20,-4089
2715106909,1,1,-4,-9,10,27,-4104
2715107909,1,6,-4,-12,8,31,-4072
2715108909,1,4,-8,-4,7,32,-4080
