# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
2809932255,0,6,-5,-8,68,130,-4023
2809933251,0,5,-5,-7,68,102,-3995
2809934251,0,1,0,-7,57,71,-4009
2809935249,0,4,-4,-9,96,36,-4011
2809936249,0,4,-10,-5,120,2,-3999
2809937249,0,4,-6,-6,87,-7,-4019
2809938249,0,5,-15,-5,80,-14,-4023
2809939249,0,-1,-12,-7,57,-17,-4028
2809940249,0,4,-12,-17,55,-27,-4069
2809941249,0,8,-19,-5,11,-44,-4072
2809942249,0,4,-9,-8,-21,-78,-4074
2809943249,0,8,-7,-8,-9,-64,-4087
2809944249,0,9,-6,-11,-28,-84,-4083
2809945249,0,5,2,-10,-32,-98,-4125
2809946249,0,12,-4,-8,-30,-87,-4124
2809947249,0,-2,1,-16,-39,-55,-4133
2809948249,0,3,5,-12,-29,-60,-4124
2809949249,0,7,-1,-13,-36,-74,-4127
2809950249,0,1,3,-6,-14,-56,-4123
2809951249,0,2,-2,-5,-9,-68,-4105
2809952249,0,0,2,-4,8,-41,-4119
2809953249,0,2,-3,-3,-1,-19,-4112
2809954249,0,7,-8,-3,14,-21,-4109
2809955249,0,1,0,-2,18,-12,-4109
2809956249,0,8,-4,-3,38,2,-4107
2809957249,0,2,-10,1,37,7,-4104
2809958249,0,6,-8,-3,42,25,-4108
2809959249,0,3,-14,-7,33,45,-4093
2809960249,0,-1,-8,0,26,46,-4093
2809961249,0,2,-9,-3,30,47,-4088
2809962249,0,2,-6,-1,26,65,-4094
2809963249,0,5,-8,-4,-1,65,-4098
2809964249,0,8,-8,-7,16,84,-4074
2809965251,0,6,-8,-4,13,85,-4083
2809966253,0,0,-4,-5,15,72,-4077
2809967249,0,0,-10,-7,12,81,-4058
2809968249,0,1,-10,-5,22,88,-4047
2809969249,0,10,-1,-3,7,94,-4042
2809970249,0,8,-2,-4,26,84,-4064
2809971249,0,4,2,-8,7,78,-4064
2809972249,0,1,4,-4,30,105,-4071
2809973249,0,3,-5,-11,38,92,-4091
2809974249,0,9,-6,-12,26,87,-4070
2809975249,0,2,-4,-10,26,82,-4085
2809976249,0,3,-4,-8,42,72,-4076
2809977249,0,7,-3,-13,26,85,-4087
2809978249,0,5,-6,-10,34,56,-4088
2809979249,0,1,-2,-12,13,36,-4096
2809980249,0,4,-4,-5,13,29,-4087
2809981249,0,0,-4,-6,9,11,-4103
2809982249,0,2,-1,-7,12,1,-4099
2809983249,0,5,-7,-14,8,15,-4100
2809984249,0,0,-10,-9,15,-23,-4091
2809985249,0,2,-1,-8,-6,-17,-4112
2809986249,0,6,-9,-10,-10,-15,-4104
2809987249,0,10,-2,-9,-5,-25,-4104
2809988249,0,1,-3,-9,14,-21,-4103
2809989249,0,3,-9,-10,10,-41,-4108
2809990249,0,6,-2,-12,5,-33,-4100
2809991249,0,2,-9,-6,21,-46,-4103
2809992249,0,4,-6,-6,18,-34,-4084
2809993249,0,6,-1,-4,9,-38,-4095
2809994249,0,7,-6,-4,33,-26,-4081
2809995249,0,0,-2,-6,15,-41,-4072
2809996249,0,1,0,-5,11,-17,-4079
2809997249,0,2,-11,-7,41,-19,-4078
2809998249,0,2,-2,-4,20,-22,-4085
2809999249,0,0,-11,-6,23,-16,-4064
2810000249,0,1,-9,-6,10,-9,-4105
2810001249,0,2,-6,-7,13,20,-4099
2810002249,0,0,-5,-9,6,28,-4117
2810003249,0,5,-8,-5,18,20,-4114
2810004249,0,1,-5,-8,21,45,-4101
2810005249,0,5,-8,-4,-3,37,-4096
2810006249,0,6,-5,-5,-1,56,-4104
2810007249,0,4,-4,-2,4,58,-4103
2810008249,0,5,-7,-4,6,63,-4107
2810009249,0,2,-6,-5,1,57,-4101
2810010249,0,1,-7,-7,9,78,-4101
2810011249,0,-1,-4,-3,26,65,-4093
2810012249,0,2,-4,-3,6,71,-4078
2810013249,0,6,-9,-3,19,59,-4082
2810014249,0,-4,-2,-4,20,73,-4084
2810015249,0,2,7,-4,16,68,-4084
2810016249,0,3,-4,-5,38,66,-4085
2810017249,0,4,1,-8,24,74,-4090
2810018249,0,12,-5,-11,16,47,-4074
2810019249,0,7,-10,-13,37,59,-4067
2810020249,0,7,-6,-5,24,57,-4091
2810021249,0,4,-6,-11,35,28,-4079
2810022249,0,-1,0,-8,5,43,-4064
2810023249,0,3,-2,-7,15,35,-4059
2810024249,0,13,-5,-8,11,31,-4086
2810025249,0,5,0,-7,30,31,-4080
2810026249,0,1,-3,-6,14,32,-4101
2810027249,0,7,-3,-4,3,-2,-4084
2810028249,0,5,-2,-4,24,-12,-4074
2810029249,0,1,-5,-6,20,-14,-4082
2810030249,0,1,-2,-10,19,-12,-4077
2810031249,0,1,-7,-6,24,-20,-4093
2810032249,0,0,-6,-4,25,-14,-4117
2810033249,0,2,-3,-12,21,2,-4096
2810034249,0,11,-6,-9,24,9,-4118
2810035249,0,-2,1,-8,16,5,-4122
2810036249,0,3,0,-7,22,1,-4114
2810037249,0,6,-6,-6,19,4,-4119
2810038249,0,1,-2,-7,16,-14,-4127
2810039249,0,3,-6,-8,4,-23,-4109
2810040249,0,3,-8,-9,8,-3,-4100
2810041249,0,4,-4,-3,22,0,-4088
2810042249,0,4,0,-5,8,-1,-4113
2810043249,0,6,-9,-2,15,11,-4101
2810044249,0,1,-4,-5,16,14,-4098
2810045249,0,6,-6,-7,17,11,-4102
2810046249,0,5,-3,-4,24,25,-4096
2810047249,0,10,-2,-5,11,29,-4100
2810048249,0,5,-6,-3,23,31,-4075
2810049249,0,3,-4,-3,19,30,-4098
2810050249,0,0,-3,-11,22,44,-4088
2810051249,0,1,-5,-4,20,48,-4091
2810052249,0,3,-7,-5,24,53,-4086
2810053249,0,7,-3,-8,9,44,-4086
2810054249,0,2,-4,-6,17,53,-4087
2810055249,0,6,0,0,10,50,-4074
2810056249,0,3,-6,-9,14,64,-4069
2810057249,0,2,-1,-5,26,66,-4089
2810058249,0,5,-5,-11,14,58,-4090
2810059249,0,4,-4,-9,26,42,-4089
2810060249,0,5,-5,-4,19,53,-4082
2810061249,0,3,-4,-6,26,53,-4067
2810062249,0,4,-5,-4,23,48,-4091
2810063249,0,1,-6,-8,16,44,-4081
2810064249,0,4,-8,-7,14,44,-4066
2810065249,0,3,-7,-4,26,40,-4094
2810066249,0,3,-2,-7,20,26,-4096
2810067249,0,9,1,-4,15,36,-4084
2810068249,0,7,-8,-6,21,25,-4096
2810069249,0,6,-4,-7,18,21,-4083
2810070249,0,3,-6,-9,16,18,-4088
2810071249,0,-3,-1,-6,14,12,-4101
2810072249,0,0,-5,-10,12,13,-4112
2810073249,0,2,-4,-9,1,12,-4105
2810074249,0,5,-5,-8,4,-7,-4100
2810075249,0,-1,-3,-7,8,2,-4091
2810076249,0,2,0,-5,15,-7,-4093
2810077249,0,5,-7,-11,5,4,-4107
2810078249,0,5,-3,-9,20,6,-4092
2810079249,0,1,2,-8,9,-5,-4095
2810080249,0,1,-8,-8,18,0,-4089
2810081249,0,-3,-7,-6,11,9,-4085
2810082249,0,10,-3,-7,14,20,-4081
2810083249,0,2,-5,-10,14,16,-4103
2810084249,0,-1,-3,-5,26,16,-4089
2810085249,0,4,-3,-6,25,5,-4092
2810086249,0,5,-4,-10,15,18,-4093
2810087249,0,3,-7,-8,7,21,-4095
2810088249,0,6,-3,-8,25,23,-4080
2810089249,0,3,-6,-6,14,29,-4096
2810090249,0,-2,0,-6,22,31,-4098
2810091249,0,5,-11,-10,10,26,-4082
2810092249,0,4,-5,-5,33,19,-4085
2810093249,0,5,-5,-7,9,33,-4084
2810094249,0,4,-1,-6,11,42,-4081
2810095249,0,4,-2,-4,19,32,-4107
2810096249,0,3,-13,-5,25,34,-4084
2810097249,0,1,-6,-7,23,38,-4088
2810098249,0,6,-5,-6,29,48,-4097
2810099249,0,9,-7,-7,22,41,-4093
2810100249,0,3,-6,-7,24,46,-4107
2810101249,0,3,-8,-5,18,38,-4083
2810102249,0,1,-3,-7,21,49,-4089
2810103249,0,3,-5,-7,7,37,-4102
2810104249,0,4,-9,-8,29,37,-4096
2810105249,0,-3,-7,-6,13,35,-4102
2810106249,0,1,-2,-5,10,47,-4091
2810107249,0,8,-11,-8,12,28,-4086
2810108249,0,3,-2,-4,11,45,-4100
2810109249,0,6,-7,-11,21,32,-4093
2810110249,0,4,-5,-9,6,16,-4110
2810111249,0,-3,-2,-5,10,30,-4090
2810112249,0,2,-10,-8,13,24,-4088
2810113249,0,3,-4,-9,5,9,-4088
2810114249,0,2,-6,-12,8,29,-4071
2810115249,0,6,-3,-10,27,25,-4084
2810116249,0,4,-5,-4,23,12,-4083
2810117249,0,6,-3,-4,20,12,-4094
2810118249,0,8,-5,-6,7,16,-4082
2810119249,0,1,0,-5,15,12,-4092
2810120249,0,5,-6,-9,14,28,-4079
2810121249,0,9,-8,-4,17,7,-4082
2810122249,0,2,-4,-8,13,12,-4086
2810123249,0,7,-10,-7,11,10,-4073
2810124249,0,-2,0,-3,5,8,-4074
2810125249,0,6,-7,-5,16,5,-4070
2810126249,0,-4,-3,-8,16,-7,-4085
2810127249,0,4,-8,-7,18,22,-4088
2810128249,0,7,-5,-8,16,32,-4090
2810129249,0,9,-6,-11,18,23,-4087
2810130249,0,7,-8,-8,19,28,-4091
2810131249,0,7,-6,-3,9,35,-4086
2810132249,0,3,-4,-11,5,24,-4090
2810133249,0,8,-9,-8,22,21,-4090
2810134249,0,2,-7,-8,3,29,-4091
2810135249,0,2,1,-5,6,28,-4092
2810136249,0,3,-7,-7,21,33,-4090
2810137249,0,2,-4,-7,22,27,-4089
2810138249,0,2,-1,-7,14,32,-4091
2810139249,0,7,-5,-8,12,38,-4095
2810140249,0,7,-3,-5,22,49,-4086
2810141249,0,10,-10,-8,20,23,-4087
2810142249,0,2,-7,-6,13,23,-4079
2810143249,0,7,-3,-10,20,27,-4091
2810144249,0,0,-5,-6,30,36,-4098
2810145249,0,-2,-2,-8,3,39,-4092
2810146249,0,3,-1,-6,16,32,-4087
2810147249,0,10,-5,-10,12,28,-4096
2810148249,0,1,-4,-9,12,33,-4101
2810149249,0,-1,0,-8,20,20,-4093
2810150249,0,-3,2,-2,23,43,-4091
2810151249,0,-7,-2,-6,13,33,-4092
2810152249,0,4,-3,-7,12,29,-4119
2810153249,0,4,-4,-8,16,28,-4099
2810154249,0,5,-5,-7,27,30,-4101
2810155249,0,1,-8,-4,13,29,-4080
2810156249,0,3,-2,-10,18,26,-4104
2810157249,0,1,-7,-4,16,28,-4100
2810158249,0,9,-5,-8,5,26,-4088
2810159249,0,2,-2,-7,27,12,-4084
2810160249,0,2,-1,-9,15,15,-4081
2810161249,0,9,-8,-13,8,38,-4103
2810162249,0,4,-8,-5,0,29,-4090
2810163249,0,4,-5,-12,11,18,-4092
2810164249,0,6,-5,-8,21,34,-4106
2810165249,0,6,-9,-4,17,10,-4091
2810166249,0,7,-7,-7,22,2,-4088
2810167249,0,4,-2,-7,25,16,-4075
2810168249,0,7,-4,-11,20,18,-4083
2810169249,0,4,-4,-7,10,22,-4084
2810170249,0,7,-7,-9,15,30,-4071
2810171249,0,4,-7,-8,17,31,-4092
2810172249,0,6,-5,-3,22,11,-4107
2810173249,0,5,-5,-6,33,22,-4084
2810174249,0,5,-5,-6,10,23,-4088
2810175249,0,3,-2,-6,22,16,-4104
2810176249,0,3,-8,-7,9,32,-4089
2810177249,0,6,-3,-9,31,29,-4095
2810178249,0,4,-4,-7,24,36,-4102
2810179249,0,6,-7,-8,15,29,-4091
2810180249,0,4,-1,-6,20,28,-4101
2810181249,0,5,-7,-8,23,24,-4093
2810182249,0,1,-5,-5,20,26,-4096
2810183249,0,4,-5,-7,19,37,-4098
2810184249,0,5,-7,-13,11,28,-4093
2810185249,0,6,-10,-12,6,39,-4096
2810186249,0,1,-1,-5,22,35,-4090
2810187249,0,8,-6,-9,0,39,-4094
2810188249,0,4,-3,-4,30,40,-4108
2810189249,0,6,-6,-5,28,22,-4096
2810190249,0,0,-2,-3,11,44,-4093
2810191249,0,3,-1,-3,11,15,-4104
2810192249,0,4,-6,-3,21,30,-4098
2810193249,0,5,-1,-2,11,31,-4092
2810194249,0,6,-1,-5,17,20,-4076
2810195249,0,10,-7,-10,11,35,-4076
2810196249,0,10,0,-9,16,37,-4085
2810197249,0,5,-5,-4,23,25,-4080
2810198249,0,6,-2,-7,30,21,-4074
2810199249,0,2,-1,-9,26,14,-4071
2810200249,0,3,-2,-5,18,19,-4063
2810201249,0,4,-3,-10,26,30,-4091
2810202249,0,4,-3,-5,22,23,-4079
2810203249,0,0,-5,-7,26,24,-4084
2810204249,0,1,-2,-8,20,22,-4074
2810205249,0,4,-5,-3,24,24,-4079
2810206249,0,8,-5,-1,12,29,-4095
2810207249,0,4,1,-6,19,19,-4086
2810208249,0,4,-10,-10,16,33,-4073
2810209249,0,6,0,-8,21,8,-4065
2810210249,0,6,-5,-7,20,10,-4065
2810211249,0,10,-5,-8,21,14,-4078
2810212249,0,1,-2,-7,35,12,-4079
2810213249,0,2,-2,-7,16,27,-4117
2810214249,0,0,-4,-6,24,21,-4114
2810215249,0,4,-6,-5,30,42,-4130
2810216249,0,6,-3,-8,15,36,-4133
2810217249,0,0,-1,-5,21,24,-4116
2810218249,0,-3,-2,-9,4,28,-4115
2810219249,0,4,-8,-8,-11,13,-4135
2810220249,0,1,-3,-7,22,23,-4114
2810221249,0,-1,-2,-6,7,23,-4106
2810222249,0,4,-5,-9,0,17,-4096
2810223249,0,0,-1,-7,10,20,-4089
2810224249,0,7,-6,-10,13,26,-4083
2810225249,0,2,-2,-3,12,20,-4095
2810226249,0,5,-8,-6,13,24,-4109
2810227249,0,3,-8,-9,18,28,-4097
2810228249,0,2,-5,-6,18,21,-4100
2810229249,0,5,-4,-4,23,23,-4104
2810230249,0,2,-4,-6,6,31,-4085
2810231249,0,5,3,-7,25,32,-4062
2810232249,0,5,-4,-5,14,30,-4079
2810233249,0,3,-3,-1,12,23,-4074
2810234249,0,-1,-3,-9,21,30,-4061
2810235249,0,6,-9,0,7,14,-4063
2810236249,0,7,3,-4,16,6,-4044
2810237249,0,5,-9,-11,16,31,-4071
2810238249,0,10,-9,-4,26,32,-4064
2810239249,0,4,-3,-8,28,24,-4079
2810240249,0,4,-2,-7,21,24,-4082
2810241249,0,2,-5,-3,14,38,-4086
2810242249,0,3,2,-9,31,24,-4090
2810243249,0,7,-5,-2,14,30,-4082
2810244249,0,5,-3,-9,27,33,-4106
2810245249,0,-1,0,0,31,24,-4097
2810246249,0,5,-7,-8,13,37,-4101
2810247249,0,-5,0,-3,2,17,-4090
2810248249,0,4,-6,-5,8,26,-4088
2810249249,0,4,-6,-11,10,38,-4088
2810250249,0,-2,-1,-5,0,30,-4089
2810251249,0,5,-8,-8,10,35,-4101
2810252249,0,-2,-5,-6,12,12,-4116
2810253249,0,1,2,-4,17,30,-4113
2810254249,0,3,-2,-7,36,16,-4102
2810255249,0,2,-7,-7,4,36,-4093
2810256249,0,5,-2,-9,5,29,-4097
2810257249,0,4,-4,-6,7,18,-4093
2810258249,0,5,-2,-7,20,13,-4107
2810259249,0,2,-1,-3,18,18,-4103
2810260249,0,1,-5,-6,29,22,-4084
2810261249,0,6,-4,-3,18,19,-4069
2810262249,0,2,-5,-3,15,20,-4080
2810263249,0,4,2,-6,12,29,-4097
2810264249,0,7,-2,-4,7,19,-4084
2810265249,0,4,-6,-10,25,12,-4088
2810266249,0,1,-3,-5,29,22,-4086
2810267249,0,4,-8,-8,19,9,-4073
2810268249,0,4,-1,-7,13,16,-4082
2810269249,0,2,-8,-10,28,27,-4089
2810270249,0,3,-10,-1,8,12,-4085
2810271249,0,6,-6,-8,14,25,-4103
2810272249,0,-1,-6,-4,15,35,-4101
2810273249,0,3,-3,-9,7,30,-4096
2810274249,0,-4,-3,-7,23,25,-4089
2810275249,0,3,-4,-8,11,34,-4097
2810276249,0,4,-3,-8,17,34,-4096
2810277249,0,8,-1,-7,9,40,-4095
2810278249,0,5,-5,-6,9,23,-4094
2810279249,0,1,0,-4,26,18,-4086
2810280249,0,6,-7,-9,15,32,-4092
2810281249,0,2,-5,-10,18,23,-4105
2810282249,0,1,-1,-6,19,28,-4096
2810283249,0,9,-6,-7,-4,25,-4095
2810284249,0,0,-5,-6,23,28,-4092
2810285249,0,4,-4,-9,24,23,-4093
2810286249,0,3,-3,-5,18,30,-4083
2810287249,0,6,-1,-8,27,13,-4108
2810288249,0,5,-6,-6,24,49,-4094
2810289249,0,3,-10,-8,10,14,-4075
2810290249,0,3,0,-7,7,28,-4083
2810291249,0,4,-6,-7,24,25,-4088
2810292249,0,-2,-11,-10,18,27,-4093
2810293249,0,9,-4,-6,30,23,-4092
2810294249,0,7,-7,-3,5,21,-4083
2810295249,0,-2,2,-3,16,16,-4089
2810296249,0,7,-11,-6,17,27,-4096
2810297249,0,1,-7,-10,19,28,-4077
2810298249,0,1,-1,-8,19,26,-4089
2810299249,0,9,-5,-9,17,27,-4077
2810300249,0,6,5,-4,12,25,-4098
2810301249,0,-2,-3,-8,10,29,-4094
2810302249,0,9,-7,-4,26,14,-4082
2810303249,0,1,-2,-7,27,24,-4090
2810304249,0,4,0,-11,22,19,-4102
2810305249,0,3,0,-3,19,21,-4078
2810306249,0,-1,-2,-9,27,25,-4106
2810307249,0,5,-8,-5,20,15,-4101
2810308249,0,1,-1,-8,3,38,-4108
2810309249,0,6,-5,-12,16,12,-4100
2810310249,0,5,-6,-7,24,29,-4101
2810311249,0,5,0,-3,22,26,-4102
2810312249,0,5,-3,-6,24,4,-4085
2810313249,0,1,-2,-4,16,28,-4099
2810314249,0,2,-2,-7,15,20,-4091
2810315249,0,4,-4,-5,17,29,-4098
2810316249,0,2,-7,-5,8,26,-4101
2810317249,0,8,-5,-5,15,26,-4096
2810318249,0,2,-8,-7,16,36,-4095
2810319249,0,9,-4,-12,24,25,-4104
2810320249,0,3,-4,-10,2,22,-4098
2810321249,0,2,-7,-6,17,24,-4102
2810322249,0,1,0,-10,14,39,-4109
2810323249,0,5,-2,-8,21,16,-4117
2810324249,0,6,-7,-10,15,26,-4102
2810325249,0,0,-1,-9,6,32,-4086
2810326249,0,4,-2,-3,8,30,-4089
2810327249,0,2,1,-12,21,22,-4104
2810328249,0,1,-3,-1,22,27,-4085
2810329249,0,4,-7,1,12,32,-4097
2810330249,0,1,-4,-1,17,32,-4083
2810331249,0,5,-6,-9,36,30,-4077
2810332249,0,2,-3,-7,10,32,-4070
2810333249,0,-2,-2,-6,26,30,-4080
2810334249,0,2,-7,-10,19,29,-4090
2810335249,0,6,-7,-5,4,31,-4075
2810336249,0,1,-4,-7,22,20,-4080
2810337249,0,4,-3,-8,24,21,-4093
2810338249,0,2,-5,-5,21,32,-4086
2810339249,0,1,-3,-9,9,26,-4100
2810340249,0,5,-1,-9,18,25,-4083
2810341249,0,1,-5,-7,17,17,-4082
2810342249,0,0,-6,-11,5,23,-4084
2810343249,0,10,-2,-5,0,40,-4088
2810344249,0,7,-5,-4,40,24,-4084
2810345249,0,4,-5,-5,24,32,-4096
2810346249,0,4,2,-5,20,29,-4094
2810347249,0,6,-3,-10,6,20,-4089
2810348249,0,1,-3,-7,26,29,-4088
2810349249,0,4,-5,-9,13,23,-4098
2810350249,0,6,2,-6,30,26,-4096
2810351249,0,6,-6,-12,19,21,-4098
2810352249,0,5,-7,-8,1,25,-4096
2810353249,0,10,-9,-8,9,20,-4096
2810354249,0,1,-1,-8,24,17,-4094
2810355249,0,7,-6,-4,9,17,-4091
2810356249,0,2,-7,-9,22,18,-4107
2810357249,0,6,-7,-4,20,21,-4092
2810358249,0,7,-10,-6,24,12,-4089
2810359249,0,-2,0,-6,2,17,-4098
2810360249,0,5,-8,-8,13,8,-4094
2810361249,0,8,-2,-7,6,25,-4098
2810362249,0,5,-2,-3,24,22,-4088
2810363249,0,-2,-9,-3,13,26,-4098
2810364249,0,7,-6,-12,43,11,-4078
2810365249,0,1,-1,-10,17,22,-4085
2810366249,0,6,-3,-7,16,21,-4069
2810367249,0,5,-10,-8,16,18,-4096
2810368249,0,-1,2,-1,23,10,-4071
2810369249,0,8,-7,-3,3,14,-4084
2810370249,0,4,-1,-6,28,18,-4097
2810371249,0,0,-7,-11,28,38,-4100
2810372249,0,2,-6,-10,26,31,-4097
2810373249,0,0,-5,-9,23,30,-4091
2810374249,0,7,-8,-7,22,23,-4098
2810375249,0,3,-2,-2,12,20,-4094
2810376249,0,4,-2,-8,2,40,-4091
2810377249,0,4,-4,-8,21,36,-4098
2810378249,0,7,0,-5,17,18,-4088
2810379249,0,7,-6,-11,24,-1,-4085
2810380249,0,5,-5,-13,16,16,-4079
2810381249,0,0,-1,-7,14,27,-4080
2810382249,0,3,-7,-9,4,20,-4074
2810383249,0,7,0,-10,33,19,-4082
2810384249,0,4,-3,-6,14,40,-4097
2810385249,0,6,-6,-12,11,13,-4096
2810386249,0,1,-5,-8,16,30,-4074
2810387249,0,3,4,-5,24,28,-4090
2810388249,0,-1,-5,-7,13,38,-4076
2810389249,0,1,-3,-9,18,12,-4099
2810390249,0,5,-6,-5,25,15,-4107
2810391249,0,1,-4,-3,18,26,-4122
2810392249,0,1,-1,-2,16,26,-4072
2810393249,0,10,-8,-9,19,30,-4095
2810394249,0,1,2,-4,12,20,-4094
2810395249,0,3,-9,-7,8,30,-4103
2810396249,0,9,0,-7,13,17,-4124
2810397249,0,2,1,-6,13,20,-4086
2810398249,0,7,-8,-4,30,18,-4086
2810399249,0,-2,-6,-8,29,31,-4099
2810400249,0,-1,3,-5,18,34,-4104
2810401249,0,5,-11,-11,26,24,-4099
2810402249,0,4,-5,-7,11,35,-4088
2810403249,0,3,-1,-7,10,28,-4103
2810404249,0,2,-4,-8,2,19,-4097
2810405249,0,0,-4,-7,9,23,-4106
2810406249,0,1,-5,-6,24,35,-4084
2810407249,0,4,-7,-10,4,25,-4098
2810408249,0,7,-5,-11,11,34,-4099
2810409249,0,7,-2,-5,13,34,-4094
2810410249,0,9,-3,-4,14,17,-4106
2810411249,0,5,-8,-11,10,19,-4100
2810412249,0,5,-3,-6,5,26,-4092
2810413249,0,4,-4,-8,2,24,-4099
2810414249,0,4,-6,-6,11,9,-4102
2810415249,0,7,-2,-3,15,28,-4090
2810416249,0,4,-3,-7,28,32,-4102
2810417249,0,6,-8,-5,9,30,-4092
2810418249,0,6,-7,-8,0,17,-4088
2810419249,0,-1,-1,-4,12,24,-4097
2810420249,0,4,-9,-8,21,46,-4080
2810421249,0,10,-8,-10,25,14,-4089
2810422249,0,2,-3,-10,15,22,-4088
2810423249,0,2,-4,-4,30,26,-4072
2810424249,0,0,-7,-6,15,19,-4091
2810425249,0,9,-5,-7,0,33,-4087
2810426249,0,5,-2,-2,14,14,-4095
2810427249,0,3,-5,-1,16,14,-4095
2810428249,0,0,-5,-8,10,21,-4082
2810429249,0,0,-4,-8,18,25,-4099
2810430249,0,4,-2,-5,10,39,-4095
2810431249,0,2,-4,-7,17,18,-4084
2810432249,0,3,2,-6,7,27,-4091
2810433249,0,7,-8,-8,11,28,-4089
2810434249,0,7,-9,-11,12,30,-4095
2810435249,0,1,-3,-9,24,28,-4086
2810436249,0,5,-8,-8,20,25,-4070
2810437249,0,7,1,-7,14,16,-4080
2810438249,0,11,-5,-10,3,12,-4092
2810439249,0,6,-7,-9,30,17,-4092
2810440249,0,2,-4,-6,9,28,-4086
2810441249,0,4,-6,-13,14,17,-4101
2810442249,0,1,-4,-6,26,8,-4088
2810443249,0,-1,-5,-7,19,15,-4101
2810444249,0,7,-8,-6,28,30,-4103
2810445249,0,6,-1,-7,20,30,-4087
2810446249,0,7,-3,-6,23,20,-4081
2810447249,0,4,-10,-9,11,26,-4083
2810448249,0,8,0,-9,29,17,-4108
2810449249,0,4,-5,-9,25,3,-4082
2810450249,0,10,-8,-7,12,27,-4079
2810451249,0,-4,1,-2,27,25,-4091
2810452249,0,0,-10,-12,32,23,-4103
2810453249,0,1,-2,-7,23,32,-4091
2810454249,0,9,-5,-9,9,24,-4099
2810455249,0,-1,-1,-3,24,15,-4096
2810456249,0,-1,-2,-1,10,31,-4103
2810457249,0,7,-9,-9,13,24,-4116
2810458249,0,4,-6,-7,9,25,-4089
2810459249,0,8,-8,-8,-1,16,-4103
2810460249,0,1,-6,-8,25,25,-4094
2810461249,0,0,-9,-10,31,27,-4089
2810462249,0,8,-3,-12,25,34,-4094
2810463249,0,4,-1,-4,14,16,-4086
2810464249,0,0,-2,-8,21,34,-4106
2810465249,0,10,-4,-9,20,20,-4080
2810466249,0,-1,-8,-8,20,19,-4081
2810467249,0,4,-7,-7,19,27,-4076
2810468249,0,8,-10,-9,12,21,-4084
2810469249,0,0,-1,-9,-1,32,-4094
2810470249,0,3,-3,-5,28,22,-4090
2810471249,0,4,-7,-6,29,20,-4107
2810472249,0,3,-4,-8,11,39,-4083
2810473249,0,6,-3,-3,0,43,-4093
2810474249,0,-2,-5,-4,29,31,-4094
2810475249,0,-1,-1,-5,12,26,-4088
2810476249,0,9,-8,-3,-5,16,-4089
2810477249,0,1,-4,-14,22,16,-4093
2810478249,0,6,0,-7,23,11,-4097
2810479249,0,6,-4,-7,21,18,-4089
2810480249,0,3,2,-4,10,15,-4095
2810481249,0,4,-4,-10,28,23,-4100
2810482249,0,2,-2,-12,15,21,-4094
2810483249,0,0,0,-6,2,15,-4084
2810484249,0,7,-6,-8,12,33,-4091
2810485249,0,5,-5,-6,20,28,-4085
2810486249,0,6,-4,-2,15,26,-4092
2810487249,0,4,4,-8,15,31,-4097
2810488249,0,-2,-1,-8,15,13,-4090
2810489249,0,2,-7,-5,3,35,-4096
2810490249,0,6,-5,-1,18,11,-4080
2810491249,0,3,-2,-6,28,27,-4093
2810492249,0,0,-6,-3,21,28,-4081
2810493249,0,2,-2,-1,13,16,-4097
2810494249,0,-1,-6,-8,2,28,-4084
2810495249,0,0,-3,-6,21,21,-4088
