# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=ang_step_full run=LOG-66.TXT
4036.088985,0.0000,0.0330,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.109304,0.0000,0.0330,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.129405,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.149636,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.169825,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.190075,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.210194,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.230477,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.250737,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.271043,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.291173,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.311286,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.331496,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.351608,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.371786,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.391954,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.412176,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.432361,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.452565,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.472722,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.492920,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.513181,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.533444,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.553735,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.574055,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.594262,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.614542,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.634834,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.655017,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.675284,0.0000,0.0330,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.695381,0.0000,0.0000,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.715650,0.0000,0.0000,0.0000,-0.0312,-0.0312,0.0000,0.0312,-1.0000
4036.735867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.756060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.776229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.796482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.816700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.836907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.857187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.877447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.897543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.917714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.937886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.958047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.978204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4036.998372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.018545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.038681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.058851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.079052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.099149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.119254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.139423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.159595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.179774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.199937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.220236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.240438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.260669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.280879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.301101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.321387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.341644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.361830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.382076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.402314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.422550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.442758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.463037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.483285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.503553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.523828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.544030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.564271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.584479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.604720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
4037.624933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
