stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
point_cloud_field_filter.compute_field,1,122.579,122.579,122.579,122.579,380.380
pipeline.latency,3343,92.630,95.779,110.261,319.162,
point_cloud_field_filter.find_minimum_rectangle,1,83.814,83.814,83.814,83.814,260.087
ros_publisher.publish_initial_field_description,1,78.487,78.487,78.487,78.487,243.556
runner.tick,3343,32.225,31.990,37.426,328.679,100.000
ros_publisher.publish_field_mask,1,18.859,18.859,18.859,18.859,58.522
deeplab_mask_model.update,1,15.347,15.347,15.347,15.347,47.624
point_cloud_field_filter.fit_plane_ransac,1,13.399,13.399,13.399,13.399,41.579
runner.keypoint_model.update,3343,10.745,9.499,15.561,24.760,33.344
yolo_keypoint_model.update,3343,10.740,9.495,15.555,24.756,33.327
runner.publishers,3343,9.726,9.310,12.636,16.900,30.182
ros_publisher.publish_camera_data,3343,9.571,9.158,12.456,16.707,29.701
runner.robot_mask_model.update,3343,9.488,8.889,14.007,25.321,29.442
yolo_bbox_robot_blob_model.update,3343,9.481,8.883,14.001,25.316,29.422
point_cloud_field_filter.transform_points,1,7.323,7.323,7.323,7.323,22.724
point_cloud_field_filter.create_point_cloud_from_depth,1,6.922,6.922,6.922,6.922,21.480
point_cloud_field_filter.find_largest_contour_mask,1,3.671,3.671,3.671,3.671,11.392
point_cloud_field_filter.extract_inliers,1,2.320,2.320,2.320,2.320,7.199
point_cloud_field_filter.mask_depth_image,1,2.160,2.160,2.160,2.160,6.703
runner.camera.get,3343,1.583,0.022,6.686,63.297,4.912
point_cloud_field_filter.point_cloud_to_2d,1,1.557,1.557,1.557,1.557,4.832
point_cloud_field_filter.plane_center_from_inliers,1,0.941,0.941,0.941,0.941,2.920
runner.robot_filter.update,3343,0.088,0.073,0.105,4.705,0.274
ros_publisher.publish_robots,3343,0.063,0.053,0.125,2.190,0.195
ros_publisher.publish_navigation,3343,0.038,0.032,0.059,1.261,0.117
ros_publisher.publish_blob_detections,3343,0.029,0.024,0.049,3.113,0.091
ros_publisher.publish_keypoint_detections,3343,0.024,0.010,0.038,3.111,0.074
runner.field_filter.track_field,3343,0.016,0.014,0.037,0.615,0.050
ros_publisher.publish_field_description,3343,0.011,0.009,0.012,0.900,0.034
point_cloud_field_filter.get_rectangle_angle,1,0.005,0.005,0.005,0.005,0.016
