stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
point_cloud_field_filter.compute_field,1,121.427,121.427,121.427,121.427,386.766
point_cloud_field_filter.find_minimum_rectangle,1,81.242,81.242,81.242,81.242,258.770
pipeline.latency,2189,76.187,74.796,86.757,317.906,
ros_publisher.publish_initial_field_description,1,70.236,70.236,70.236,70.236,223.714
runner.tick,2189,31.395,31.194,37.984,322.024,100.000
deeplab_mask_model.update,1,21.381,21.381,21.381,21.381,68.102
ros_publisher.publish_field_mask,1,17.133,17.133,17.133,17.133,54.572
point_cloud_field_filter.fit_plane_ransac,1,13.979,13.979,13.979,13.979,44.526
runner.perception_batch.update,2189,13.375,12.733,18.304,36.982,42.601
runner.keypoint_model.update,2189,12.607,12.266,16.215,36.936,40.154
yolo_keypoint_model.update,2189,12.600,12.259,16.206,36.927,40.132
runner.robot_mask_model.update,2189,12.271,11.937,15.753,34.735,39.086
yolo_bbox_robot_blob_model.update,2189,12.264,11.930,15.744,34.728,39.064
point_cloud_field_filter.create_point_cloud_from_depth,1,12.103,12.103,12.103,12.103,38.550
runner.publishers,2189,10.124,9.563,13.743,16.672,32.246
ros_publisher.publish_camera_data,2189,9.947,9.393,13.566,16.554,31.683
runner.camera.get,2189,7.158,7.456,12.470,57.584,22.800
point_cloud_field_filter.transform_points,1,5.438,5.438,5.438,5.438,17.321
point_cloud_field_filter.point_cloud_to_2d,1,2.853,2.853,2.853,2.853,9.087
point_cloud_field_filter.find_largest_contour_mask,1,1.834,1.834,1.834,1.834,5.842
point_cloud_field_filter.extract_inliers,1,1.489,1.489,1.489,1.489,4.743
point_cloud_field_filter.mask_depth_image,1,1.377,1.377,1.377,1.377,4.386
point_cloud_field_filter.plane_center_from_inliers,1,0.728,0.728,0.728,0.728,2.319
runner.robot_filter.update,2189,0.100,0.091,0.120,5.500,0.319
ros_publisher.publish_robots,2189,0.072,0.053,0.134,3.254,0.229
ros_publisher.publish_navigation,2189,0.040,0.031,0.060,1.661,0.127
ros_publisher.publish_keypoint_detections,2189,0.037,0.009,0.041,2.965,0.119
ros_publisher.publish_blob_detections,2189,0.029,0.024,0.044,2.204,0.093
runner.field_filter.track_field,2189,0.025,0.017,0.050,0.194,0.079
ros_publisher.publish_field_description,2189,0.010,0.010,0.011,0.057,0.032
point_cloud_field_filter.get_rectangle_angle,1,0.005,0.005,0.005,0.005,0.016
