stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
point_cloud_field_filter.compute_field,1,161.076,161.076,161.076,161.076,385.360
pipeline.latency,1963,119.366,118.842,141.329,434.594,
point_cloud_field_filter.find_minimum_rectangle,1,107.814,107.814,107.814,107.814,257.936
ros_publisher.publish_initial_field_description,1,106.187,106.187,106.187,106.187,254.043
runner.tick,1963,41.799,41.573,45.807,347.338,100.000
runner.perception_batch.update,1963,39.781,39.678,43.878,53.645,95.173
runner.robot_mask_model.update,1963,39.455,39.413,43.219,50.606,94.393
yolo_bbox_robot_blob_model.update,1963,39.448,39.406,43.195,50.600,94.375
yolo_bbox_robot_blob_model.inference,1963,33.190,33.304,36.299,44.046,79.404
runner.keypoint_model.update,1963,31.850,32.258,37.382,43.143,76.199
yolo_keypoint_model.update,1963,31.843,32.250,37.375,43.138,76.181
yolo_keypoint_model.inference,1963,25.286,25.582,30.001,35.534,60.494
point_cloud_field_filter.fit_plane_ransac,1,24.392,24.392,24.392,24.392,58.356
deeplab_mask_model.update,1,23.847,23.847,23.847,23.847,57.052
ros_publisher.publish_field_mask,1,15.796,15.796,15.796,15.796,37.791
point_cloud_field_filter.create_point_cloud_from_depth,1,11.415,11.415,11.415,11.415,27.309
point_cloud_field_filter.transform_points,1,7.583,7.583,7.583,7.583,18.142
yolo_keypoint_model.preprocess,1963,6.218,6.005,8.696,15.416,14.876
yolo_bbox_robot_blob_model.preprocess,1963,6.124,5.874,8.757,14.793,14.651
point_cloud_field_filter.extract_inliers,1,3.363,3.363,3.363,3.363,8.046
point_cloud_field_filter.point_cloud_to_2d,1,2.017,2.017,2.017,2.017,4.825
point_cloud_field_filter.find_largest_contour_mask,1,1.788,1.788,1.788,1.788,4.278
point_cloud_field_filter.mask_depth_image,1,1.317,1.317,1.317,1.317,3.151
point_cloud_field_filter.plane_center_from_inliers,1,1.050,1.050,1.050,1.050,2.512
runner.camera.get,1963,0.540,0.012,3.497,5.638,1.293
runner.keypoint_filter,1963,0.493,0.466,0.709,1.532,1.180
yolo_keypoint_model.postprocess,1963,0.278,0.234,0.452,4.537,0.666
runner.publishers,1963,0.239,0.214,0.272,11.647,0.571
runner.control_loop.advance,1963,0.148,0.137,0.201,0.388,0.353
runner.robot_filter.update,1963,0.094,0.091,0.114,0.324,0.224
yolo_bbox_robot_blob_model.postprocess,1963,0.077,0.064,0.114,1.361,0.184
ros_publisher.publish_camera_data,1963,0.070,0.060,0.081,11.483,0.167
ros_publisher.publish_hazards,1963,0.037,0.035,0.047,0.843,0.088
ros_publisher.publish_blob_detections,1963,0.029,0.018,0.044,3.566,0.069
ros_publisher.publish_navigation,1963,0.028,0.026,0.035,0.909,0.068
ros_publisher.publish_robots,1963,0.027,0.025,0.032,1.070,0.066
ros_publisher.publish_keypoint_detections,1963,0.015,0.009,0.025,3.039,0.035
runner.field_filter.track_field,1963,0.013,0.011,0.020,0.113,0.030
ros_publisher.publish_field_description,1963,0.012,0.012,0.014,0.070,0.030
point_cloud_field_filter.get_rectangle_angle,1,0.003,0.003,0.003,0.003,0.007
