stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,3247,68.016,67.347,74.094,101.077,
runner.tick,3247,32.698,32.791,37.126,72.270,100.000
runner.camera.get,3247,15.996,16.301,19.469,53.242,48.922
runner.perception_batch.update,3247,15.247,14.990,18.198,30.690,46.629
runner.keypoint_model.update,3247,15.028,14.831,17.285,29.562,45.958
yolo_keypoint_model.update,3247,15.021,14.825,17.280,29.557,45.939
runner.robot_mask_model.update,3247,14.285,14.143,16.107,30.641,43.688
yolo_bbox_robot_blob_model.update,3247,14.279,14.137,16.102,30.636,43.668
yolo_keypoint_model.inference,3247,9.285,9.210,10.933,23.354,28.395
yolo_bbox_robot_blob_model.inference,3247,8.859,8.744,10.110,19.351,27.094
yolo_keypoint_model.preprocess,3247,5.395,5.231,6.570,12.641,16.499
yolo_bbox_robot_blob_model.preprocess,3247,5.282,5.135,6.549,14.977,16.155
runner.keypoint_filter,3247,0.611,0.588,0.818,4.317,1.868
yolo_keypoint_model.postprocess,3247,0.288,0.234,0.345,5.211,0.882
runner.publishers,3247,0.238,0.211,0.281,4.161,0.727
runner.control_loop.advance,3247,0.156,0.144,0.200,3.562,0.476
runner.robot_filter.update,3247,0.103,0.096,0.124,3.502,0.313
yolo_bbox_robot_blob_model.postprocess,3247,0.082,0.070,0.095,3.969,0.251
ros_publisher.publish_camera_data,3247,0.067,0.061,0.084,3.589,0.206
ros_publisher.publish_hazards,3247,0.038,0.036,0.047,1.467,0.115
ros_publisher.publish_robots,3247,0.033,0.028,0.037,1.323,0.102
ros_publisher.publish_blob_detections,3247,0.028,0.019,0.040,3.917,0.087
ros_publisher.publish_navigation,3247,0.024,0.021,0.030,0.955,0.074
runner.field_filter.track_field,3247,0.021,0.017,0.059,0.338,0.065
ros_publisher.publish_field_description,3247,0.014,0.012,0.014,2.658,0.041
ros_publisher.publish_keypoint_detections,3247,0.013,0.009,0.012,2.768,0.040
