stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,2482,65.310,64.661,68.906,101.995,
runner.tick,2482,32.664,32.770,36.323,68.956,100.000
runner.camera.get,2482,18.053,18.380,21.125,50.192,55.269
runner.perception_batch.update,2482,13.130,12.846,14.635,28.559,40.198
runner.keypoint_model.update,2482,12.986,12.754,14.501,28.508,39.757
yolo_keypoint_model.update,2482,12.981,12.748,14.495,28.504,39.739
runner.robot_mask_model.update,2482,12.289,12.103,13.760,27.062,37.623
yolo_bbox_robot_blob_model.update,2482,12.283,12.098,13.754,27.057,37.605
yolo_keypoint_model.inference,2482,7.370,7.280,8.688,23.124,22.564
yolo_bbox_robot_blob_model.inference,2482,7.048,6.898,8.116,21.324,21.578
yolo_keypoint_model.preprocess,2482,5.315,5.174,6.307,9.070,16.273
yolo_bbox_robot_blob_model.preprocess,2482,5.106,5.026,6.211,9.326,15.633
runner.keypoint_filter,2482,0.644,0.623,0.788,1.595,1.972
yolo_keypoint_model.postprocess,2482,0.243,0.217,0.288,3.831,0.743
runner.publishers,2482,0.229,0.212,0.264,3.565,0.703
runner.control_loop.advance,2482,0.153,0.149,0.203,0.457,0.468
runner.robot_filter.update,2482,0.099,0.101,0.128,0.224,0.303
yolo_bbox_robot_blob_model.postprocess,2482,0.077,0.073,0.086,1.150,0.237
ros_publisher.publish_camera_data,2482,0.066,0.062,0.082,1.009,0.201
ros_publisher.publish_hazards,2482,0.037,0.035,0.045,0.958,0.113
ros_publisher.publish_robots,2482,0.032,0.029,0.035,1.104,0.097
runner.field_filter.track_field,2482,0.029,0.017,0.065,0.106,0.090
ros_publisher.publish_blob_detections,2482,0.027,0.020,0.041,3.261,0.084
ros_publisher.publish_navigation,2482,0.024,0.022,0.028,0.997,0.073
ros_publisher.publish_field_description,2482,0.013,0.012,0.014,0.996,0.040
ros_publisher.publish_keypoint_detections,2482,0.011,0.009,0.011,3.334,0.035
