name,latency.command_ms,opponents,ok,ticks,min_dist_m,reached,t_contact_s,facing_pct,mean_abs_ang_deg,nearwall_pct,impact_speed_mps
circ_lat0,0.0,"[{'behavior': 'circle', 'radius': 0.6, 'speed': 1.0}]",True,900,0.001,True,18.08,98.4,49.0,0.0,1.3
circ_lat30,30.0,"[{'behavior': 'circle', 'radius': 0.6, 'speed': 1.0}]",True,900,0.002,True,18.41,97.9,46.6,0.0,1.29
circ_lat60,60.0,"[{'behavior': 'circle', 'radius': 0.6, 'speed': 1.0}]",True,900,0.005,True,18.65,98.0,45.7,0.0,1.3
circ_lat90,90.0,"[{'behavior': 'circle', 'radius': 0.6, 'speed': 1.0}]",True,900,0.006,True,18.85,97.8,44.8,0.0,1.3
